split,quantile,quantile_probability,short_side_quantile_px,pyramid_level,stride,sampling_intervals_spanned,dilution_rate_percent,representable_by_one_interval
train,2.5%,0.025,11.25,P2,4,2.8125,0,True
train,2.5%,0.025,11.25,P3,8,1.40625,0,True
train,2.5%,0.025,11.25,P4,16,0.703125,29.6875,False
train,2.5%,0.025,11.25,P5,32,0.3515625,64.84375,False
train,5%,0.05,12.5,P2,4,3.125,0,True
train,5%,0.05,12.5,P3,8,1.5625,0,True
train,5%,0.05,12.5,P4,16,0.78125,21.875,False
train,5%,0.05,12.5,P5,32,0.390625,60.9375,False
train,10%,0.1,13.75,P2,4,3.4375,0,True
train,10%,0.1,13.75,P3,8,1.71875,0,True
train,10%,0.1,13.75,P4,16,0.859375,14.0625,False
train,10%,0.1,13.75,P5,32,0.4296875,57.03125,False
val,2.5%,0.025,10,P2,4,2.5,0,True
val,2.5%,0.025,10,P3,8,1.25,0,True
val,2.5%,0.025,10,P4,16,0.625,37.5,False
val,2.5%,0.025,10,P5,32,0.3125,68.75,False
val,5%,0.05,12.0136518771,P2,4,3.00341296928,0,True
val,5%,0.05,12.0136518771,P3,8,1.50170648464,0,True
val,5%,0.05,12.0136518771,P4,16,0.750853242321,24.9146757679,False
val,5%,0.05,12.0136518771,P5,32,0.37542662116,62.457337884,False
val,10%,0.1,13.75,P2,4,3.4375,0,True
val,10%,0.1,13.75,P3,8,1.71875,0,True
val,10%,0.1,13.75,P4,16,0.859375,14.0625,False
val,10%,0.1,13.75,P5,32,0.4296875,57.03125,False
test,2.5%,0.025,11.5631399317,P2,4,2.89078498294,0,True
test,2.5%,0.025,11.5631399317,P3,8,1.44539249147,0,True
test,2.5%,0.025,11.5631399317,P4,16,0.722696245734,27.7303754266,False
test,2.5%,0.025,11.5631399317,P5,32,0.361348122867,63.8651877133,False
test,5%,0.05,12.5597269625,P2,4,3.13993174061,0,True
test,5%,0.05,12.5597269625,P3,8,1.56996587031,0,True
test,5%,0.05,12.5597269625,P4,16,0.784982935154,21.5017064846,False
test,5%,0.05,12.5597269625,P5,32,0.392491467577,60.7508532423,False
test,10%,0.1,14.9232081911,P2,4,3.73080204778,0,True
test,10%,0.1,14.9232081911,P3,8,1.86540102389,0,True
test,10%,0.1,14.9232081911,P4,16,0.932700511945,6.72994880546,False
test,10%,0.1,14.9232081911,P5,32,0.466350255973,53.3649744027,False
all,2.5%,0.025,11.25,P2,4,2.8125,0,True
all,2.5%,0.025,11.25,P3,8,1.40625,0,True
all,2.5%,0.025,11.25,P4,16,0.703125,29.6875,False
all,2.5%,0.025,11.25,P5,32,0.3515625,64.84375,False
all,5%,0.05,12.5,P2,4,3.125,0,True
all,5%,0.05,12.5,P3,8,1.5625,0,True
all,5%,0.05,12.5,P4,16,0.78125,21.875,False
all,5%,0.05,12.5,P5,32,0.390625,60.9375,False
all,10%,0.1,13.75,P2,4,3.4375,0,True
all,10%,0.1,13.75,P3,8,1.71875,0,True
all,10%,0.1,13.75,P4,16,0.859375,14.0625,False
all,10%,0.1,13.75,P5,32,0.4296875,57.03125,False
