Split,Metric,Q2.5,Q5,Q10,Q25,Q50,Q75,Q95
train,Short side / px,11.25,12.50,13.75,17.50,21.25,26.25,33.75
train,Long side / px,13.93,15.62,17.50,21.25,27.50,33.75,43.75
train,Area / px2,173.45,206.25,257.81,371.88,584.38,862.50,1400.63
train,Aspect ratio,1.00,1.00,1.05,1.11,1.25,1.42,1.82
val,Short side / px,10.00,12.01,13.75,17.50,21.25,26.25,33.75
val,Long side / px,14.27,16.25,17.50,22.50,28.75,33.75,43.31
val,Area / px2,153.19,207.54,251.45,398.44,611.72,859.38,1405.70
val,Aspect ratio,1.00,1.00,1.05,1.12,1.26,1.50,1.95
test,Short side / px,11.56,12.56,14.92,17.50,21.25,26.25,33.75
test,Long side / px,15.92,16.25,18.57,21.89,27.50,33.75,45.00
test,Area / px2,200.48,233.63,269.82,374.22,590.62,875.00,1405.70
test,Aspect ratio,1.00,1.00,1.04,1.11,1.24,1.44,1.87
