Split,q,Short-side quantile,P2 ratio,P2 dilution,P3 ratio,P3 dilution,P4 ratio,P4 dilution,P5 ratio,P5 dilution
train,2.5%,11.25,2.8125,0,1.40625,0,0.703125,29.6875,0.3515625,64.84375
train,5%,12.5,3.125,0,1.5625,0,0.78125,21.875,0.390625,60.9375
train,10%,13.75,3.4375,0,1.71875,0,0.859375,14.0625,0.4296875,57.03125
val,2.5%,10,2.5,0,1.25,0,0.625,37.5,0.3125,68.75
val,5%,12.0136518771,3.00341296928,0,1.50170648464,0,0.750853242321,24.9146757679,0.37542662116,62.457337884
val,10%,13.75,3.4375,0,1.71875,0,0.859375,14.0625,0.4296875,57.03125
test,2.5%,11.5631399317,2.89078498294,0,1.44539249147,0,0.722696245734,27.7303754266,0.361348122867,63.8651877133
test,5%,12.5597269625,3.13993174061,0,1.56996587031,0,0.784982935154,21.5017064846,0.392491467577,60.7508532423
test,10%,14.9232081911,3.73080204778,0,1.86540102389,0,0.932700511945,6.72994880546,0.466350255973,53.3649744027
all,2.5%,11.25,2.8125,0,1.40625,0,0.703125,29.6875,0.3515625,64.84375
all,5%,12.5,3.125,0,1.5625,0,0.78125,21.875,0.390625,60.9375
all,10%,13.75,3.4375,0,1.71875,0,0.859375,14.0625,0.4296875,57.03125
