short_side_640_px,long_side_640_px
21.25,27.5
20,37.5
25,35
21.25,40
27.5,32.5
26.25,43.75
27.5,45
20,26.25
22.5,28.75
20,41.25
12.5,15
30,47.5
20,23.75
21.25,31.25
23.75,23.75
18.75,22.5
13.1058020478,13.2642487047
18.566552901,43.1088082902
16.25,18.75
15,17.5
16.25,17.5
15,20
12.5,16.25
13.75,17.5
15,23.75
16.25,17.5
13.75,15
16.25,20
28.75,37.5
12.6010362694,18.0204778157
28.75,35
21.25,22.5
28.75,50
22.5,38.75
17.4744027304,18.5699481865
38.75,50
23.75,30
15,25
27.5,37.5
21.25,27.5
12.5,22.5
15,21.25
24.5733788396,38.4663212435
22.5,23.75
20,41.25
25,27.5
16.25,27.5
13.75,23.75
27.5,30
27.5,37.5
25,40
16.25,28.75
26.25,27.5
21.2969283276,24.5388601036
30,41.25
14.1979522184,19.2331606218
21.2227979275,25.6655290102
15.2901023891,17.2435233161
17.5,20
12.5,18.75
16.25,16.25
32.2184300341,45.7616580311
32.5,35
32.5,36.25
16.25,18.75
11.25,17.5
15,21.25
21.25,21.25
17.5,23.75
25,35
25,35
13.75,25
27.5,28.75
23.75,30
18.75,25
25,30
16.25,18.75
18.75,18.75
15,23.75
16.25,27.5
27.5,30
18.75,26.25
20,26.25
18.75,25
15.2538860104,15.2901023891
15.2901023891,16.5803108808
27.5,40
21.25,31.25
27.5,41.25
17.5,33.75
20,21.25
17.5,22.5
37.5,41.25
18.75,32.5
21.25,27.5
27.5,52.5
22.5,25
17.5,43.75
8.75,31.25
25,30
18.75,18.75
18.75,23.75
12.5,16.25
16.25,17.5
16.25,16.25
26.25,33.75
23.75,32.5
22.5,26.25
18.75,31.25
25,31.25
22.5,30
17.5,25
23.75,25
15,30
25,41.25
33.75,36.25
27.5,50
28.75,31.25
13.75,17.5
21.25,33.75
19.2331606218,25.1194539249
25,25
23.75,23.75
15,28.75
17.5,28.75
23.75,32.5
16.25,28.75
17.5,27.5
16.25,25
25,35
20,23.75
25,28.75
21.25,22.5
