split,short_side_640_px,long_side_640_px,area_640_px2,aspect_ratio
train,21.25,27.5,584.375,1.29411764706
train,20,37.5,750,1.875
train,25,35,875,1.4
train,21.25,40,850,1.88235294118
train,27.5,32.5,893.75,1.18181818182
train,26.25,43.75,1148.4375,1.66666666667
train,27.5,45,1237.5,1.63636363636
train,20,26.25,525,1.3125
train,22.5,28.75,646.875,1.27777777778
train,20,41.25,825,2.0625
train,12.5,15,187.5,1.2
train,30,47.5,1425,1.58333333333
train,20,23.75,475,1.1875
train,21.25,31.25,664.0625,1.47058823529
train,23.75,23.75,564.0625,1
train,18.75,22.5,421.875,1.2
train,13.1058020478,13.2642487047,173.838617836,1.01208981002
train,18.566552901,43.1088082902,800.381969619,2.32185309357
train,16.25,18.75,304.6875,1.15384615385
train,15,17.5,262.5,1.16666666667
train,16.25,17.5,284.375,1.07692307692
train,15,20,300,1.33333333333
train,12.5,16.25,203.125,1.3
train,13.75,17.5,240.625,1.27272727273
train,15,23.75,356.25,1.58333333333
train,16.25,17.5,284.375,1.07692307692
train,13.75,15,206.25,1.09090909091
train,16.25,20,325,1.23076923077
train,28.75,37.5,1078.125,1.30434782609
train,12.6010362694,18.0204778157,227.076694548,1.43007903718
train,28.75,35,1006.25,1.21739130435
train,21.25,22.5,478.125,1.05882352941
train,28.75,50,1437.5,1.73913043478
train,22.5,38.75,871.875,1.72222222222
train,17.4744027304,18.5699481865,324.498753294,1.06269430052
train,38.75,50,1937.5,1.29032258065
train,23.75,30,712.5,1.26315789474
train,15,25,375,1.66666666667
train,27.5,37.5,1031.25,1.36363636364
train,21.25,27.5,584.375,1.29411764706
train,12.5,22.5,281.25,1.8
train,15,21.25,318.75,1.41666666667
train,24.5733788396,38.4663212435,945.247484482,1.56536557283
train,22.5,23.75,534.375,1.05555555556
train,20,41.25,825,2.0625
train,25,27.5,687.5,1.1
train,16.25,27.5,446.875,1.69230769231
train,13.75,23.75,326.5625,1.72727272727
train,27.5,30,825,1.09090909091
train,27.5,37.5,1031.25,1.36363636364
train,25,40,1000,1.6
train,16.25,28.75,467.1875,1.76923076923
train,26.25,27.5,721.875,1.04761904762
train,21.2969283276,24.5388601036,522.602344869,1.15222532217
train,30,41.25,1237.5,1.375
train,14.1979522184,19.2331606218,273.071495517,1.35464328418
train,21.2227979275,25.6655290102,544.694335886,1.20933767065
train,15.2901023891,17.2435233161,263.655237051,1.12775721688
train,17.5,20,350,1.14285714286
train,12.5,18.75,234.375,1.5
train,16.25,16.25,264.0625,1
train,32.2184300341,45.7616580311,1474.36877752,1.42035654694
train,32.5,35,1137.5,1.07692307692
train,32.5,36.25,1178.125,1.11538461538
train,16.25,18.75,304.6875,1.15384615385
train,11.25,17.5,196.875,1.55555555556
train,15,21.25,318.75,1.41666666667
train,21.25,21.25,451.5625,1
train,17.5,23.75,415.625,1.35714285714
train,25,35,875,1.4
train,25,35,875,1.4
train,13.75,25,343.75,1.81818181818
train,27.5,28.75,790.625,1.04545454545
train,23.75,30,712.5,1.26315789474
train,18.75,25,468.75,1.33333333333
train,25,30,750,1.2
train,16.25,18.75,304.6875,1.15384615385
train,18.75,18.75,351.5625,1
train,15,23.75,356.25,1.58333333333
train,16.25,27.5,446.875,1.69230769231
train,27.5,30,825,1.09090909091
train,18.75,26.25,492.1875,1.4
train,20,26.25,525,1.3125
train,18.75,25,468.75,1.33333333333
train,15.2538860104,15.2901023891,233.23347893,1.0023742395
train,15.2901023891,16.5803108808,253.514651011,1.0843819393
train,27.5,40,1100,1.45454545455
train,21.25,31.25,664.0625,1.47058823529
train,27.5,41.25,1134.375,1.5
train,17.5,33.75,590.625,1.92857142857
train,20,21.25,425,1.0625
train,17.5,22.5,393.75,1.28571428571
train,37.5,41.25,1546.875,1.1
train,18.75,32.5,609.375,1.73333333333
train,21.25,27.5,584.375,1.29411764706
train,27.5,52.5,1443.75,1.90909090909
train,22.5,25,562.5,1.11111111111
train,17.5,43.75,765.625,2.5
train,8.75,31.25,273.4375,3.57142857143
train,25,30,750,1.2
train,18.75,18.75,351.5625,1
train,18.75,23.75,445.3125,1.26666666667
train,12.5,16.25,203.125,1.3
train,16.25,17.5,284.375,1.07692307692
train,16.25,16.25,264.0625,1
train,26.25,33.75,885.9375,1.28571428571
train,23.75,32.5,771.875,1.36842105263
train,22.5,26.25,590.625,1.16666666667
train,18.75,31.25,585.9375,1.66666666667
train,25,31.25,781.25,1.25
train,22.5,30,675,1.33333333333
train,17.5,25,437.5,1.42857142857
train,23.75,25,593.75,1.05263157895
train,15,30,450,2
train,25,41.25,1031.25,1.65
train,33.75,36.25,1223.4375,1.07407407407
train,27.5,50,1375,1.81818181818
train,28.75,31.25,898.4375,1.08695652174
train,13.75,17.5,240.625,1.27272727273
train,21.25,33.75,717.1875,1.58823529412
train,19.2331606218,25.1194539249,483.126492069,1.30604919383
train,25,25,625,1
train,23.75,23.75,564.0625,1
train,15,28.75,431.25,1.91666666667
train,17.5,28.75,503.125,1.64285714286
train,23.75,32.5,771.875,1.36842105263
train,16.25,28.75,467.1875,1.76923076923
train,17.5,27.5,481.25,1.57142857143
train,16.25,25,406.25,1.53846153846
train,25,35,875,1.4
train,20,23.75,475,1.1875
train,25,28.75,718.75,1.15
train,21.25,22.5,478.125,1.05882352941
train,23.75,31.25,742.1875,1.31578947368
train,20,25,500,1.25
train,13.1058020478,13.2642487047,173.838617836,1.01208981002
train,10.3754266212,14.5906735751,151.384463032,1.40627215708
train,27.5,37.5,1031.25,1.36363636364
train,31.25,37.5,1171.875,1.2
train,20,25,500,1.25
train,17.5,20,350,1.14285714286
train,15,20,300,1.33333333333
train,21.25,25,531.25,1.17647058824
train,20,21.25,425,1.0625
train,33.75,33.75,1139.0625,1
train,17.5,27.5,481.25,1.57142857143
train,27.5,33.75,928.125,1.22727272727
train,15.2901023891,21.8860103627,334.639339334,1.43138415988
train,21.25,25,531.25,1.17647058824
train,26.25,28.75,754.6875,1.09523809524
train,26.25,31.25,820.3125,1.19047619048
train,26.25,30,787.5,1.14285714286
train,32.5,38.75,1259.375,1.19230769231
train,25,27.5,687.5,1.1
train,32.5,33.75,1096.875,1.03846153846
train,26.25,27.5,721.875,1.04761904762
train,18.75,26.25,492.1875,1.4
train,18.75,25,468.75,1.33333333333
train,15,17.5,262.5,1.16666666667
train,12.5,17.5,218.75,1.4
train,20.5595854922,21.843003413,449.083096076,1.06242430915
train,25,33.75,843.75,1.35
train,28.75,30,862.5,1.04347826087
train,23.75,23.75,564.0625,1
train,21.25,23.75,504.6875,1.11764705882
train,23.75,26.25,623.4375,1.10526315789
train,25,28.75,718.75,1.15
train,18.75,36.25,679.6875,1.93333333333
train,25,41.25,1031.25,1.65
train,23.75,31.25,742.1875,1.31578947368
train,31.25,46.25,1445.3125,1.48
train,18.75,35,656.25,1.86666666667
train,25,27.5,687.5,1.1
train,22.5,26.25,590.625,1.16666666667
train,7.00729927007,14.08,98.6627737226,2.00933333333
train,7.00729927007,10.88,76.2394160584,1.55266666667
train,30,42.5,1275,1.41666666667
train,16.25,21.25,345.3125,1.30769230769
train,23.75,30,712.5,1.26315789474
train,16.25,23.75,385.9375,1.46153846154
train,16.25,17.5,284.375,1.07692307692
train,15,17.5,262.5,1.16666666667
train,16.25,21.25,345.3125,1.30769230769
train,13.75,15,206.25,1.09090909091
train,16.25,21.25,345.3125,1.30769230769
train,10.3754266212,11.9378238342,123.860015208,1.15058631034
train,9.9481865285,10.9215017065,108.649136147,1.09783845279
train,15,17.5,262.5,1.16666666667
train,27.5,31.25,859.375,1.13636363636
train,18.75,32.5,609.375,1.73333333333
train,15,16.25,243.75,1.08333333333
train,15,25,375,1.66666666667
train,18.75,26.25,492.1875,1.4
train,27.5,31.25,859.375,1.13636363636
train,20,27.5,550,1.375
train,12.5,17.5,218.75,1.4
train,11.25,15,168.75,1.33333333333
train,10,17.5,175,1.75
train,18.75,23.75,445.3125,1.26666666667
train,16.25,26.25,426.5625,1.61538461538
train,18.75,35,656.25,1.86666666667
train,21.25,38.75,823.4375,1.82352941176
train,16.25,26.25,426.5625,1.61538461538
train,25,35,875,1.4
train,31.25,35,1093.75,1.12
train,20,23.75,475,1.1875
train,22.5,23.75,534.375,1.05555555556
train,25,25,625,1
train,11.4675767918,12.6010362694,144.503351076,1.09884036516
train,20,20,400,1
train,20,20,400,1
train,17.5,22.5,393.75,1.28571428571
train,20,22.5,450,1.125
train,21.25,32.5,690.625,1.52941176471
train,18.75,22.5,421.875,1.2
train,21.25,23.75,504.6875,1.11764705882
train,18.75,20,375,1.06666666667
train,22.5,25,562.5,1.11111111111
train,20,21.25,425,1.0625
train,18.75,31.25,585.9375,1.66666666667
train,16.25,20,325,1.23076923077
train,18.75,18.75,351.5625,1
train,21.25,26.25,557.8125,1.23529411765
train,11.9378238342,13.1058020478,156.454756052,1.09783845279
train,11.4675767918,12.6010362694,144.503351076,1.09884036516
train,12.0136518771,12.6010362694,151.384463032,1.04889307584
train,21.25,27.5,584.375,1.29411764706
train,21.25,27.5,584.375,1.29411764706
train,22.5,28.75,646.875,1.27777777778
train,18.75,22.5,421.875,1.2
train,17.5,20,350,1.14285714286
train,15,17.5,262.5,1.16666666667
train,17.5,25,437.5,1.42857142857
train,31.25,33.75,1054.6875,1.08
train,18.75,22.5,421.875,1.2
train,17.5,25,437.5,1.42857142857
train,17.5,22.5,393.75,1.28571428571
train,20,22.5,450,1.125
train,20,23.75,475,1.1875
train,16.25,23.75,385.9375,1.46153846154
train,18.75,22.5,421.875,1.2
train,20,21.25,425,1.0625
train,12.5,22.5,281.25,1.8
train,16.25,26.25,426.5625,1.61538461538
train,11.25,25,281.25,2.22222222222
train,16.25,25,406.25,1.53846153846
train,20,22.5,450,1.125
train,16.25,25,406.25,1.53846153846
train,22.5,33.75,759.375,1.5
train,22.5,23.75,534.375,1.05555555556
train,22.5,40,900,1.77777777778
train,21.25,40,850,1.88235294118
train,16.25,22.5,365.625,1.38461538462
train,25,53.75,1343.75,2.15
train,27.5,33.75,928.125,1.22727272727
train,18.75,25,468.75,1.33333333333
train,17.5,21.25,371.875,1.21428571429
train,17.5,21.25,371.875,1.21428571429
train,20,25,500,1.25
train,17.5,22.5,393.75,1.28571428571
train,17.5,25,437.5,1.42857142857
train,21.25,21.25,451.5625,1
train,17.5,23.75,415.625,1.35714285714
train,25,35,875,1.4
train,25,35,875,1.4
train,26.25,45,1181.25,1.71428571429
train,26.25,43.75,1148.4375,1.66666666667
train,15,20,300,1.33333333333
train,18.75,18.75,351.5625,1
train,20,25,500,1.25
