split,metric,quantile,quantile_probability,value
train,short_side_640_px,0%,0,5.46075085324
train,short_side_640_px,1%,0.01,9.82935153584
train,short_side_640_px,2.5%,0.025,11.25
train,short_side_640_px,5%,0.05,12.5
train,short_side_640_px,10%,0.1,13.75
train,short_side_640_px,25%,0.25,17.5
train,short_side_640_px,50%,0.5,21.25
train,short_side_640_px,75%,0.75,26.25
train,short_side_640_px,90%,0.9,31.25
train,short_side_640_px,95%,0.95,33.75
train,short_side_640_px,97.5%,0.975,36.25
train,short_side_640_px,99%,0.99,38.75
train,short_side_640_px,100%,1,56.25
train,long_side_640_px,0%,0,7.29533678756
train,long_side_640_px,1%,0.01,12.6010362694
train,long_side_640_px,2.5%,0.025,13.9274611399
train,long_side_640_px,5%,0.05,15.6177474403
train,long_side_640_px,10%,0.1,17.5
train,long_side_640_px,25%,0.25,21.25
train,long_side_640_px,50%,0.5,27.5
train,long_side_640_px,75%,0.75,33.75
train,long_side_640_px,90%,0.9,40
train,long_side_640_px,95%,0.95,43.75
train,long_side_640_px,97.5%,0.975,47.5
train,long_side_640_px,99%,0.99,52.5
train,long_side_640_px,100%,1,63.75
train,area_640_px2,0%,0,39.8380165874
train,area_640_px2,1%,0.01,137.564292914
train,area_640_px2,2.5%,0.025,173.445894269
train,area_640_px2,5%,0.05,206.25
train,area_640_px2,10%,0.1,257.8125
train,area_640_px2,25%,0.25,371.875
train,area_640_px2,50%,0.5,584.375
train,area_640_px2,75%,0.75,862.5
train,area_640_px2,90%,0.9,1181.25
train,area_640_px2,95%,0.95,1400.625
train,area_640_px2,97.5%,0.975,1576.875
train,area_640_px2,99%,0.99,1856.5
train,area_640_px2,100%,1,3234.375
train,aspect_ratio,0%,0,1
train,aspect_ratio,1%,0.01,1
train,aspect_ratio,2.5%,0.025,1
train,aspect_ratio,5%,0.05,1
train,aspect_ratio,10%,0.1,1.04618471914
train,aspect_ratio,25%,0.25,1.10526315789
train,aspect_ratio,50%,0.5,1.25
train,aspect_ratio,75%,0.75,1.42105263158
train,aspect_ratio,90%,0.9,1.66666666667
train,aspect_ratio,95%,0.95,1.82455242967
train,aspect_ratio,97.5%,0.975,2.01230259067
train,aspect_ratio,99%,0.99,2.32277151275
train,aspect_ratio,100%,1,3.57142857143
val,short_side_640_px,0%,0,7.64505119454
val,short_side_640_px,1%,0.01,8.75
val,short_side_640_px,2.5%,0.025,10
val,short_side_640_px,5%,0.05,12.0136518771
val,short_side_640_px,10%,0.1,13.75
val,short_side_640_px,25%,0.25,17.5
val,short_side_640_px,50%,0.5,21.25
val,short_side_640_px,75%,0.75,26.25
val,short_side_640_px,90%,0.9,31.25
val,short_side_640_px,95%,0.95,33.75
val,short_side_640_px,97.5%,0.975,37.5
val,short_side_640_px,99%,0.99,39.8812286689
val,short_side_640_px,100%,1,47.5
val,long_side_640_px,0%,0,9.82935153584
val,long_side_640_px,1%,0.01,12.4536865373
val,long_side_640_px,2.5%,0.025,14.2666784559
val,long_side_640_px,5%,0.05,16.25
val,long_side_640_px,10%,0.1,17.5
val,long_side_640_px,25%,0.25,22.5
val,long_side_640_px,50%,0.5,28.75
val,long_side_640_px,75%,0.75,33.75
val,long_side_640_px,90%,0.9,40
val,long_side_640_px,95%,0.95,43.3125
val,long_side_640_px,97.5%,0.975,48.53125
val,long_side_640_px,99%,0.99,51.25
val,long_side_640_px,100%,1,67.5
val,area_640_px2,0%,0,84.746326195
val,area_640_px2,1%,0.01,106.240746963
val,area_640_px2,2.5%,0.025,153.186227873
val,area_640_px2,5%,0.05,207.537958231
val,area_640_px2,10%,0.1,251.446197103
val,area_640_px2,25%,0.25,398.4375
val,area_640_px2,50%,0.5,611.71875
val,area_640_px2,75%,0.75,859.375
val,area_640_px2,90%,0.9,1168.74061765
val,area_640_px2,95%,0.95,1405.703125
val,area_640_px2,97.5%,0.975,1597.6171875
val,area_640_px2,99%,0.99,1845.625
val,area_640_px2,100%,1,2909.375
val,aspect_ratio,0%,0,1
val,aspect_ratio,1%,0.01,1
val,aspect_ratio,2.5%,0.025,1
val,aspect_ratio,5%,0.05,1.00392632699
val,aspect_ratio,10%,0.1,1.04928571429
val,aspect_ratio,25%,0.25,1.12
val,aspect_ratio,50%,0.5,1.26201372998
val,aspect_ratio,75%,0.75,1.49608409725
val,aspect_ratio,90%,0.9,1.75009600731
val,aspect_ratio,95%,0.95,1.94717261905
val,aspect_ratio,97.5%,0.975,2.12154605263
val,aspect_ratio,99%,0.99,2.42688114836
val,aspect_ratio,100%,1,3
test,short_side_640_px,0%,0,9.28327645051
test,short_side_640_px,1%,0.01,11.25
test,short_side_640_px,2.5%,0.025,11.5631399317
test,short_side_640_px,5%,0.05,12.5597269625
test,short_side_640_px,10%,0.1,14.9232081911
test,short_side_640_px,25%,0.25,17.5
test,short_side_640_px,50%,0.5,21.25
test,short_side_640_px,75%,0.75,26.25
test,short_side_640_px,90%,0.9,31.25
test,short_side_640_px,95%,0.95,33.75
test,short_side_640_px,97.5%,0.975,37.28125
test,short_side_640_px,99%,0.99,40
test,short_side_640_px,100%,1,50
test,long_side_640_px,0%,0,9.28497409326
test,long_side_640_px,1%,0.01,14.6014083361
test,long_side_640_px,2.5%,0.025,15.9170984456
test,long_side_640_px,5%,0.05,16.25
test,long_side_640_px,10%,0.1,18.5699481865
test,long_side_640_px,25%,0.25,21.8860103627
test,long_side_640_px,50%,0.5,27.5
test,long_side_640_px,75%,0.75,33.75
test,long_side_640_px,90%,0.9,40
test,long_side_640_px,95%,0.95,45
test,long_side_640_px,97.5%,0.975,48.75
test,long_side_640_px,99%,0.99,52.4125
test,long_side_640_px,100%,1,78.75
test,area_640_px2,0%,0,86.1949813436
test,area_640_px2,1%,0.01,189.0625
test,area_640_px2,2.5%,0.025,200.476263672
test,area_640_px2,5%,0.05,233.633011304
test,area_640_px2,10%,0.1,269.823488258
test,area_640_px2,25%,0.25,374.21875
test,area_640_px2,50%,0.5,590.625
test,area_640_px2,75%,0.75,875
test,area_640_px2,90%,0.9,1200.9375
test,area_640_px2,95%,0.95,1405.703125
test,area_640_px2,97.5%,0.975,1546.875
test,area_640_px2,99%,0.99,1795.078125
test,area_640_px2,100%,1,3937.5
test,aspect_ratio,0%,0,1
test,aspect_ratio,1%,0.01,1
test,aspect_ratio,2.5%,0.025,1
test,aspect_ratio,5%,0.05,1
test,aspect_ratio,10%,0.1,1.04347826087
test,aspect_ratio,25%,0.25,1.11111111111
test,aspect_ratio,50%,0.5,1.23529411765
test,aspect_ratio,75%,0.75,1.44444444444
test,aspect_ratio,90%,0.9,1.70840336134
test,aspect_ratio,95%,0.95,1.87359946086
test,aspect_ratio,97.5%,0.975,2
test,aspect_ratio,99%,0.99,2.31487893257
test,aspect_ratio,100%,1,3
all,short_side_640_px,0%,0,5.46075085324
all,short_side_640_px,1%,0.01,9.82935153584
all,short_side_640_px,2.5%,0.025,11.25
all,short_side_640_px,5%,0.05,12.5
all,short_side_640_px,10%,0.1,13.75
all,short_side_640_px,25%,0.25,17.5
all,short_side_640_px,50%,0.5,21.25
all,short_side_640_px,75%,0.75,26.25
all,short_side_640_px,90%,0.9,31.25
all,short_side_640_px,95%,0.95,33.75
all,short_side_640_px,97.5%,0.975,36.25
all,short_side_640_px,99%,0.99,40
all,short_side_640_px,100%,1,56.25
all,long_side_640_px,0%,0,7.29533678756
all,long_side_640_px,1%,0.01,12.6010362694
all,long_side_640_px,2.5%,0.025,14.5906735751
all,long_side_640_px,5%,0.05,16.25
all,long_side_640_px,10%,0.1,17.5
all,long_side_640_px,25%,0.25,21.25
all,long_side_640_px,50%,0.5,27.5
all,long_side_640_px,75%,0.75,33.75
all,long_side_640_px,90%,0.9,40
all,long_side_640_px,95%,0.95,43.75
all,long_side_640_px,97.5%,0.975,47.5
all,long_side_640_px,99%,0.99,52.5
all,long_side_640_px,100%,1,78.75
all,area_640_px2,0%,0,39.8380165874
all,area_640_px2,1%,0.01,130.378963377
all,area_640_px2,2.5%,0.025,175.202320112
all,area_640_px2,5%,0.05,207.157686254
all,area_640_px2,10%,0.1,258.140724195
all,area_640_px2,25%,0.25,375
all,area_640_px2,50%,0.5,590.625
all,area_640_px2,75%,0.75,862.5
all,area_640_px2,90%,0.9,1181.25
all,area_640_px2,95%,0.95,1404.6875
all,area_640_px2,97.5%,0.975,1585.625
all,area_640_px2,99%,0.99,1842.5
all,area_640_px2,100%,1,3937.5
all,aspect_ratio,0%,0,1
all,aspect_ratio,1%,0.01,1
all,aspect_ratio,2.5%,0.025,1
all,aspect_ratio,5%,0.05,1
all,aspect_ratio,10%,0.1,1.04545454545
all,aspect_ratio,25%,0.25,1.11111111111
all,aspect_ratio,50%,0.5,1.25
all,aspect_ratio,75%,0.75,1.43311917098
all,aspect_ratio,90%,0.9,1.69288449956
all,aspect_ratio,95%,0.95,1.8684057971
all,aspect_ratio,97.5%,0.975,2.05210526316
all,aspect_ratio,99%,0.99,2.35809700417
all,aspect_ratio,100%,1,3.57142857143
