Split,Metric,Min,Q1,Q2.5,Q5,Q10,Q25,Q50,Q75,Q90,Q95,Q97.5,Q99,Max
train,short_side_640_px,5.46075085324,9.82935153584,11.25,12.5,13.75,17.5,21.25,26.25,31.25,33.75,36.25,38.75,56.25
train,long_side_640_px,7.29533678756,12.6010362694,13.9274611399,15.6177474403,17.5,21.25,27.5,33.75,40,43.75,47.5,52.5,63.75
train,area_640_px2,39.8380165874,137.564292914,173.445894269,206.25,257.8125,371.875,584.375,862.5,1181.25,1400.625,1576.875,1856.5,3234.375
train,aspect_ratio,1,1,1,1,1.04618471914,1.10526315789,1.25,1.42105263158,1.66666666667,1.82455242967,2.01230259067,2.32277151275,3.57142857143
val,short_side_640_px,7.64505119454,8.75,10,12.0136518771,13.75,17.5,21.25,26.25,31.25,33.75,37.5,39.8812286689,47.5
val,long_side_640_px,9.82935153584,12.4536865373,14.2666784559,16.25,17.5,22.5,28.75,33.75,40,43.3125,48.53125,51.25,67.5
val,area_640_px2,84.746326195,106.240746963,153.186227873,207.537958231,251.446197103,398.4375,611.71875,859.375,1168.74061765,1405.703125,1597.6171875,1845.625,2909.375
val,aspect_ratio,1,1,1,1.00392632699,1.04928571429,1.12,1.26201372998,1.49608409725,1.75009600731,1.94717261905,2.12154605263,2.42688114836,3
test,short_side_640_px,9.28327645051,11.25,11.5631399317,12.5597269625,14.9232081911,17.5,21.25,26.25,31.25,33.75,37.28125,40,50
test,long_side_640_px,9.28497409326,14.6014083361,15.9170984456,16.25,18.5699481865,21.8860103627,27.5,33.75,40,45,48.75,52.4125,78.75
test,area_640_px2,86.1949813436,189.0625,200.476263672,233.633011304,269.823488258,374.21875,590.625,875,1200.9375,1405.703125,1546.875,1795.078125,3937.5
test,aspect_ratio,1,1,1,1,1.04347826087,1.11111111111,1.23529411765,1.44444444444,1.70840336134,1.87359946086,2,2.31487893257,3
all,short_side_640_px,5.46075085324,9.82935153584,11.25,12.5,13.75,17.5,21.25,26.25,31.25,33.75,36.25,40,56.25
all,long_side_640_px,7.29533678756,12.6010362694,14.5906735751,16.25,17.5,21.25,27.5,33.75,40,43.75,47.5,52.5,78.75
all,area_640_px2,39.8380165874,130.378963377,175.202320112,207.157686254,258.140724195,375,590.625,862.5,1181.25,1404.6875,1585.625,1842.5,3937.5
all,aspect_ratio,1,1,1,1,1.04545454545,1.11111111111,1.25,1.43311917098,1.69288449956,1.8684057971,2.05210526316,2.35809700417,3.57142857143
