split,image_relative_path,label_relative_path,image_width,image_height,class_id,box_index,x_center_norm,y_center_norm,width_norm,height_norm,letterbox_scale,width_original_px,height_original_px,width_640_px,height_640_px,short_side_640_px,long_side_640_px,area_640_px2,aspect_ratio
train,train/images/fog_dense_fog_0009_GF6_WFV_.png,train/labels/fog_dense_fog_0009_GF6_WFV_.txt,512,512,0,0,0.79296875,0.3037109375,0.04296875,0.033203125,1.25,22,17,27.5,21.25,21.25,27.5,584.375,1.29411764706
train,train/images/fog_dense_fog_0015_GF6_WFV_.png,train/labels/fog_dense_fog_0015_GF6_WFV_.txt,512,512,0,0,0.13671875,0.63671875,0.05859375,0.03125,1.25,30,16,37.5,20,20,37.5,750,1.875
train,train/images/fog_dense_fog_0015_GF6_WFV_.png,train/labels/fog_dense_fog_0015_GF6_WFV_.txt,512,512,0,1,0.77734375,0.6640625,0.0546875,0.0390625,1.25,28,20,35,25,25,35,875,1.4
train,train/images/fog_dense_fog_0015_GF6_WFV_.png,train/labels/fog_dense_fog_0015_GF6_WFV_.txt,512,512,0,2,0.818359375,0.8271484375,0.0625,0.033203125,1.25,32,17,40,21.25,21.25,40,850,1.88235294118
train,train/images/fog_dense_fog_0023_GF1_WFV4.png,train/labels/fog_dense_fog_0023_GF1_WFV4.txt,512,512,0,0,0.669921875,0.44140625,0.05078125,0.04296875,1.25,26,22,32.5,27.5,27.5,32.5,893.75,1.18181818182
train,train/images/fog_dense_fog_0032_GF1_WFV3.png,train/labels/fog_dense_fog_0032_GF1_WFV3.txt,512,512,0,0,0.1162109375,0.7373046875,0.068359375,0.041015625,1.25,35,21,43.75,26.25,26.25,43.75,1148.4375,1.66666666667
train,train/images/fog_dense_fog_0048_GF1_WFV3.png,train/labels/fog_dense_fog_0048_GF1_WFV3.txt,512,512,0,0,0.53125,0.90625,0.0703125,0.04296875,1.25,36,22,45,27.5,27.5,45,1237.5,1.63636363636
train,train/images/fog_dense_fog_0060_GF6_WFV_.png,train/labels/fog_dense_fog_0060_GF6_WFV_.txt,512,512,0,0,0.34765625,0.6806640625,0.03125,0.041015625,1.25,16,21,20,26.25,20,26.25,525,1.3125
train,train/images/fog_dense_fog_0064_GF1_WFV4.png,train/labels/fog_dense_fog_0064_GF1_WFV4.txt,512,512,0,0,0.0380859375,0.60546875,0.044921875,0.03515625,1.25,23,18,28.75,22.5,22.5,28.75,646.875,1.27777777778
train,train/images/fog_dense_fog_0080_GF1_WFV4.png,train/labels/fog_dense_fog_0080_GF1_WFV4.txt,512,512,0,0,0.2841796875,0.544921875,0.064453125,0.03125,1.25,33,16,41.25,20,20,41.25,825,2.0625
train,train/images/fog_dense_fog_0100_GF1_WFV3.png,train/labels/fog_dense_fog_0100_GF1_WFV3.txt,512,512,0,0,0.986328125,0.740234375,0.0234375,0.01953125,1.25,12,10,15,12.5,12.5,15,187.5,1.2
train,train/images/fog_dense_fog_0105_GF1_WFV3.png,train/labels/fog_dense_fog_0105_GF1_WFV3.txt,512,512,0,0,0.37890625,0.109375,0.046875,0.07421875,1.25,24,38,30,47.5,30,47.5,1425,1.58333333333
train,train/images/fog_dense_fog_0108_GF1_WFV2.png,train/labels/fog_dense_fog_0108_GF1_WFV2.txt,512,512,0,0,0.0478515625,0.40234375,0.037109375,0.03125,1.25,19,16,23.75,20,20,23.75,475,1.1875
train,train/images/fog_dense_fog_0108_GF1_WFV2.png,train/labels/fog_dense_fog_0108_GF1_WFV2.txt,512,512,0,1,0.4775390625,0.4677734375,0.048828125,0.033203125,1.25,25,17,31.25,21.25,21.25,31.25,664.0625,1.47058823529
train,train/images/fog_dense_fog_0108_GF1_WFV2.png,train/labels/fog_dense_fog_0108_GF1_WFV2.txt,512,512,0,2,0.1806640625,0.7080078125,0.037109375,0.037109375,1.25,19,19,23.75,23.75,23.75,23.75,564.0625,1
train,train/images/fog_dense_fog_0117_GF6_WFV_.png,train/labels/fog_dense_fog_0117_GF6_WFV_.txt,512,512,0,0,0.26953125,0.9619140625,0.03515625,0.029296875,1.25,18,15,22.5,18.75,18.75,22.5,421.875,1.2
train,train/images/fog_dense_fog_0117_GF6_WFV_.png,train/labels/fog_dense_fog_0117_GF6_WFV_.txt,512,512,0,1,0.561433447099,0.523316062176,0.0204778156997,0.020725388601,1.25,10.4846416382,10.6113989637,13.1058020478,13.2642487047,13.1058020478,13.2642487047,173.838617836,1.01208981002
train,train/images/fog_dense_fog_0126_GF6_WFV_.png,train/labels/fog_dense_fog_0126_GF6_WFV_.txt,512,512,0,0,0.950511945392,0.159067357513,0.0290102389078,0.0673575129534,1.25,14.8532423208,34.4870466321,18.566552901,43.1088082902,18.566552901,43.1088082902,800.381969619,2.32185309357
train,train/images/fog_dense_fog_0132_GF6_WFV_.png,train/labels/fog_dense_fog_0132_GF6_WFV_.txt,512,512,0,0,0.4794921875,0.8505859375,0.025390625,0.029296875,1.25,13,15,16.25,18.75,16.25,18.75,304.6875,1.15384615385
train,train/images/fog_dense_fog_0132_GF6_WFV_.png,train/labels/fog_dense_fog_0132_GF6_WFV_.txt,512,512,0,1,0.9296875,0.71875,0.0234375,0.02734375,1.25,12,14,15,17.5,15,17.5,262.5,1.16666666667
train,train/images/fog_dense_fog_0132_GF6_WFV_.png,train/labels/fog_dense_fog_0132_GF6_WFV_.txt,512,512,0,2,0.9619140625,0.671875,0.025390625,0.02734375,1.25,13,14,16.25,17.5,16.25,17.5,284.375,1.07692307692
train,train/images/fog_dense_fog_0132_GF6_WFV_.png,train/labels/fog_dense_fog_0132_GF6_WFV_.txt,512,512,0,3,0.3515625,0.30859375,0.03125,0.0234375,1.25,16,12,20,15,15,20,300,1.33333333333
train,train/images/fog_dense_fog_0132_GF6_WFV_.png,train/labels/fog_dense_fog_0132_GF6_WFV_.txt,512,512,0,4,0.6005859375,0.392578125,0.025390625,0.01953125,1.25,13,10,16.25,12.5,12.5,16.25,203.125,1.3
train,train/images/fog_dense_fog_0138_GF6_WFV_.png,train/labels/fog_dense_fog_0138_GF6_WFV_.txt,512,512,0,0,0.94921875,0.9697265625,0.02734375,0.021484375,1.25,14,11,17.5,13.75,13.75,17.5,240.625,1.27272727273
train,train/images/fog_dense_fog_0138_GF6_WFV_.png,train/labels/fog_dense_fog_0138_GF6_WFV_.txt,512,512,0,1,0.0380859375,0.47265625,0.037109375,0.0234375,1.25,19,12,23.75,15,15,23.75,356.25,1.58333333333
train,train/images/fog_dense_fog_0138_GF6_WFV_.png,train/labels/fog_dense_fog_0138_GF6_WFV_.txt,512,512,0,2,0.033203125,0.4072265625,0.02734375,0.025390625,1.25,14,13,17.5,16.25,16.25,17.5,284.375,1.07692307692
train,train/images/fog_dense_fog_0139_GF6_WFV_.png,train/labels/fog_dense_fog_0139_GF6_WFV_.txt,512,512,0,0,0.125,0.2861328125,0.0234375,0.021484375,1.25,12,11,15,13.75,13.75,15,206.25,1.09090909091
train,train/images/fog_dense_fog_0139_GF6_WFV_.png,train/labels/fog_dense_fog_0139_GF6_WFV_.txt,512,512,0,1,0.92578125,0.7216796875,0.03125,0.025390625,1.25,16,13,20,16.25,16.25,20,325,1.23076923077
train,train/images/fog_dense_fog_0142_GF1_WFV4.png,train/labels/fog_dense_fog_0142_GF1_WFV4.txt,512,512,0,0,0.5390625,0.5751953125,0.05859375,0.044921875,1.25,30,23,37.5,28.75,28.75,37.5,1078.125,1.30434782609
train,train/images/fog_dense_fog_0142_GF1_WFV4.png,train/labels/fog_dense_fog_0142_GF1_WFV4.txt,512,512,0,1,0.264078498294,0.674093264249,0.028156996587,0.019689119171,1.25,14.4163822526,10.0808290155,18.0204778157,12.6010362694,12.6010362694,18.0204778157,227.076694548,1.43007903718
train,train/images/fog_dense_fog_0148_GF1_WFV3.png,train/labels/fog_dense_fog_0148_GF1_WFV3.txt,512,512,0,0,0.521484375,0.1220703125,0.0546875,0.044921875,1.25,28,23,35,28.75,28.75,35,1006.25,1.21739130435
train,train/images/fog_dense_fog_0149_GF6_WFV_.png,train/labels/fog_dense_fog_0149_GF6_WFV_.txt,512,512,0,0,0.7568359375,0.6015625,0.033203125,0.03515625,1.25,17,18,21.25,22.5,21.25,22.5,478.125,1.05882352941
train,train/images/fog_dense_fog_0172_GF1_WFV4.png,train/labels/fog_dense_fog_0172_GF1_WFV4.txt,512,512,0,0,0.392578125,0.1005859375,0.078125,0.044921875,1.25,40,23,50,28.75,28.75,50,1437.5,1.73913043478
train,train/images/fog_dense_fog_0196_GF1_WFV3.png,train/labels/fog_dense_fog_0196_GF1_WFV3.txt,512,512,0,0,0.314453125,0.8330078125,0.03515625,0.060546875,1.25,18,31,22.5,38.75,22.5,38.75,871.875,1.72222222222
train,train/images/fog_dense_fog_0196_GF1_WFV3.png,train/labels/fog_dense_fog_0196_GF1_WFV3.txt,512,512,0,1,0.700511945392,0.551295336788,0.0273037542662,0.0290155440415,1.25,13.9795221843,14.8559585492,17.4744027304,18.5699481865,17.4744027304,18.5699481865,324.498753294,1.06269430052
train,train/images/fog_dense_fog_0214_GF1_WFV4.png,train/labels/fog_dense_fog_0214_GF1_WFV4.txt,512,512,0,0,0.7978515625,0.4375,0.060546875,0.078125,1.25,31,40,38.75,50,38.75,50,1937.5,1.29032258065
train,train/images/fog_dense_fog_0214_GF1_WFV4.png,train/labels/fog_dense_fog_0214_GF1_WFV4.txt,512,512,0,1,0.3203125,0.0966796875,0.046875,0.037109375,1.25,24,19,30,23.75,23.75,30,712.5,1.26315789474
train,train/images/fog_dense_fog_0219_GF1_WFV1.png,train/labels/fog_dense_fog_0219_GF1_WFV1.txt,512,512,0,0,0.064453125,0.541015625,0.0390625,0.0234375,1.25,20,12,25,15,15,25,375,1.66666666667
train,train/images/fog_dense_fog_0220_GF1_WFV2.png,train/labels/fog_dense_fog_0220_GF1_WFV2.txt,512,512,0,0,0.130859375,0.541015625,0.04296875,0.05859375,1.25,22,30,27.5,37.5,27.5,37.5,1031.25,1.36363636364
train,train/images/fog_dense_fog_0229_GF1_WFV3.png,train/labels/fog_dense_fog_0229_GF1_WFV3.txt,512,512,0,0,0.1337890625,0.912109375,0.033203125,0.04296875,1.25,17,22,21.25,27.5,21.25,27.5,584.375,1.29411764706
