split,short_side_range,lower_bound_inclusive,upper_bound_exclusive,count,percentage
train,"[0,4)",0,4,0,0
train,"[4,8)",4,8,10,0.455996352029
train,"[8,16)",8,16,363,16.5526675787
train,"[16,32)",16,32,1641,74.829001368
train,"[32,+inf)",32,,179,8.16233470132
val,"[0,4)",0,4,0,0
val,"[4,8)",4,8,1,0.145348837209
val,"[8,16)",8,16,131,19.0406976744
val,"[16,32)",16,32,497,72.238372093
val,"[32,+inf)",32,,59,8.57558139535
test,"[0,4)",0,4,0,0
test,"[4,8)",4,8,0,0
test,"[8,16)",8,16,114,18.75
test,"[16,32)",16,32,447,73.5197368421
test,"[32,+inf)",32,,47,7.73026315789
all,"[0,4)",0,4,0,0
all,"[4,8)",4,8,11,0.315276583548
all,"[8,16)",8,16,608,17.4261966179
all,"[16,32)",16,32,2585,74.0899971338
all,"[32,+inf)",32,,285,8.16852966466
