epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2374,3.1703,17.1506,2.11271,0.36918,0.23547,0.21999,0.06683,2.52412,7.34122,1.59394,0.00066455,0.00066455,0.00066455
2,81.9753,2.51622,4.49495,1.44589,0.44979,0.36773,0.31471,0.08371,2.74106,3.84217,1.65561,0.00132243,0.00132243,0.00132243
3,110.11,2.44833,3.08649,1.42075,0.32472,0.38517,0.26535,0.09492,2.32175,3.11827,1.46748,0.00197151,0.00197151,0.00197151
4,137.674,2.3928,2.33228,1.38387,0.55748,0.51308,0.48664,0.16971,2.37941,2.04923,1.43262,0.0019604,0.0019604,0.0019604
5,165.102,2.34813,2.0768,1.34103,0.4119,0.52762,0.40757,0.15317,2.14158,1.81083,1.34134,0.0019472,0.0019472,0.0019472
6,192.652,2.33835,1.94778,1.33188,0.33856,0.45203,0.2884,0.09018,2.27561,2.07858,1.3721,0.001934,0.001934,0.001934
7,220.253,2.30269,1.83418,1.29496,0.40813,0.52017,0.34863,0.1119,2.29698,1.85074,1.38121,0.0019208,0.0019208,0.0019208
8,248.168,2.28449,1.805,1.28591,0.5274,0.56105,0.48812,0.17877,2.13929,1.8483,1.31662,0.0019076,0.0019076,0.0019076
9,275.759,2.2746,1.85642,1.28094,0.57764,0.52907,0.5534,0.20237,2.17656,1.59356,1.34179,0.0018944,0.0018944,0.0018944
10,303.51,2.26887,1.7117,1.27692,0.50746,0.50617,0.47714,0.17166,2.11985,1.66621,1.31999,0.0018812,0.0018812,0.0018812
11,331.254,2.27126,1.70764,1.28346,0.47408,0.5436,0.45985,0.16027,2.10078,1.61002,1.30077,0.001868,0.001868,0.001868
12,359.023,2.23148,1.77101,1.26696,0.4907,0.51816,0.48436,0.1875,2.10851,1.76944,1.29593,0.0018548,0.0018548,0.0018548
13,386.656,2.20822,1.65616,1.2439,0.53312,0.53198,0.4611,0.15252,2.21156,1.65093,1.34536,0.0018416,0.0018416,0.0018416
14,414.382,2.21887,1.71423,1.24545,0.61491,0.59185,0.57068,0.20582,2.0309,1.56135,1.26501,0.0018284,0.0018284,0.0018284
15,442.059,2.29672,1.75324,1.28029,0.64305,0.58285,0.62439,0.22908,2.016,1.54124,1.26638,0.0018152,0.0018152,0.0018152
16,469.863,2.18776,1.68863,1.2347,0.61119,0.57849,0.57498,0.21195,2.02548,1.52181,1.263,0.001802,0.001802,0.001802
17,497.383,2.18635,1.66826,1.26016,0.47463,0.55087,0.49464,0.17129,2.0939,1.61758,1.29763,0.0017888,0.0017888,0.0017888
18,525.069,2.19123,1.66488,1.25012,0.63019,0.55814,0.58041,0.20795,2.19127,1.66812,1.33835,0.0017756,0.0017756,0.0017756
19,553.017,2.18049,1.6608,1.24226,0.57549,0.59112,0.54504,0.19727,2.01168,1.48604,1.25623,0.0017624,0.0017624,0.0017624
20,580.576,2.20751,1.679,1.23475,0.62865,0.56395,0.55068,0.19602,2.06715,1.52083,1.28373,0.0017492,0.0017492,0.0017492
21,608.242,2.19425,1.62933,1.23564,0.68791,0.59012,0.62943,0.23145,2.07052,1.43652,1.27673,0.001736,0.001736,0.001736
22,635.983,2.14794,1.53255,1.20681,0.58233,0.61404,0.58207,0.2021,2.07316,1.46659,1.28237,0.0017228,0.0017228,0.0017228
23,663.558,2.16598,1.55469,1.22415,0.63834,0.55378,0.59616,0.21848,2.07803,1.49825,1.27884,0.0017096,0.0017096,0.0017096
24,691.227,2.13634,1.57332,1.22428,0.71519,0.57849,0.6362,0.2186,2.17203,1.44992,1.31214,0.0016964,0.0016964,0.0016964
25,718.976,2.1678,1.59847,1.22124,0.60948,0.57413,0.58197,0.2033,2.11694,1.4888,1.28424,0.0016832,0.0016832,0.0016832
26,746.942,2.15983,1.55746,1.2253,0.63578,0.60174,0.60985,0.22636,1.99339,1.44579,1.24742,0.00167,0.00167,0.00167
27,774.624,2.11356,1.52882,1.21209,0.6387,0.60756,0.64192,0.22986,2.10816,1.36938,1.28397,0.0016568,0.0016568,0.0016568
28,802.26,2.15234,1.59304,1.22807,0.56093,0.58308,0.5782,0.21969,2.01737,1.46612,1.26377,0.0016436,0.0016436,0.0016436
29,829.877,2.10803,1.57088,1.21327,0.51256,0.59157,0.51978,0.16305,2.13825,1.53802,1.29079,0.0016304,0.0016304,0.0016304
30,857.35,2.16242,1.58635,1.21792,0.60712,0.60029,0.60183,0.21375,2.069,1.48174,1.26899,0.0016172,0.0016172,0.0016172
31,885.003,2.11443,1.55223,1.22368,0.60854,0.60756,0.61316,0.22841,2.0426,1.48469,1.2653,0.001604,0.001604,0.001604
32,912.855,2.14791,1.54046,1.22835,0.68657,0.59302,0.64668,0.24089,2.059,1.42632,1.26194,0.0015908,0.0015908,0.0015908
