epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1906,2.84179,6.60879,1.92719,0.38163,0.36958,0.30455,0.09652,2.45072,4.40807,1.64954,0.00066455,0.00066455,0.00066455
2,125.813,2.42094,3.0554,1.60059,0.43908,0.35901,0.3358,0.1181,2.29103,2.94546,1.63484,0.00132243,0.00132243,0.00132243
3,170.8,2.34836,2.50768,1.60154,0.38911,0.38517,0.32488,0.12716,2.16948,2.6707,1.50128,0.00197151,0.00197151,0.00197151
4,215.803,2.31019,2.27681,1.5507,0.54976,0.43605,0.46567,0.15931,2.18388,2.27448,1.51938,0.0019604,0.0019604,0.0019604
5,260.519,2.22022,2.22703,1.50393,0.47249,0.4375,0.40826,0.15549,2.12161,2.17604,1.50292,0.0019472,0.0019472,0.0019472
6,305.686,2.21364,2.10567,1.47093,0.4773,0.48178,0.41797,0.1472,2.20328,2.11511,1.59447,0.001934,0.001934,0.001934
7,350.836,2.22226,2.0907,1.48742,0.45529,0.52616,0.40025,0.14167,2.24879,1.99469,1.54925,0.0019208,0.0019208,0.0019208
8,395.985,2.1914,2.05718,1.4772,0.52804,0.53343,0.50786,0.18344,2.10726,2.03457,1.43448,0.0019076,0.0019076,0.0019076
9,441.11,2.17834,2.03468,1.46844,0.52502,0.52907,0.49932,0.18502,2.08036,1.87722,1.44283,0.0018944,0.0018944,0.0018944
10,486.337,2.15658,1.91941,1.46368,0.47159,0.4375,0.39698,0.14639,2.12972,1.98075,1.57905,0.0018812,0.0018812,0.0018812
11,531.681,2.15236,1.95116,1.46663,0.41505,0.55959,0.4194,0.15053,2.0721,1.84038,1.48254,0.001868,0.001868,0.001868
12,576.602,2.1419,1.99463,1.44398,0.50807,0.4782,0.45314,0.1765,2.08112,1.92983,1.45024,0.0018548,0.0018548,0.0018548
13,621.781,2.1084,1.85775,1.43178,0.5556,0.5088,0.51937,0.19695,2.00968,1.85362,1.46879,0.0018416,0.0018416,0.0018416
14,666.92,2.12788,1.91014,1.44325,0.62321,0.52168,0.54982,0.21793,2.01649,1.77831,1.50309,0.0018284,0.0018284,0.0018284
15,712.154,2.14592,1.85671,1.45835,0.65173,0.56541,0.61177,0.23489,1.98684,1.75132,1.44905,0.0018152,0.0018152,0.0018152
16,757.295,2.08954,1.84981,1.44202,0.57342,0.52907,0.56616,0.20946,2.00378,1.77199,1.5341,0.001802,0.001802,0.001802
17,802.514,2.08306,1.85035,1.44275,0.54223,0.5189,0.49196,0.17073,2.12828,1.88929,1.5239,0.0017888,0.0017888,0.0017888
18,847.836,2.09749,1.80745,1.46064,0.72451,0.57994,0.65482,0.24648,2.01239,1.7789,1.45997,0.0017756,0.0017756,0.0017756
19,893.072,2.09328,1.81158,1.43933,0.59618,0.58866,0.57707,0.21288,1.95958,1.71976,1.43603,0.0017624,0.0017624,0.0017624
20,938.274,2.093,1.84062,1.4324,0.51595,0.59028,0.51063,0.19792,2.01929,1.8306,1.4901,0.0017492,0.0017492,0.0017492
21,983.476,2.08038,1.78743,1.41274,0.62065,0.58285,0.6087,0.2316,1.99329,1.61482,1.45508,0.001736,0.001736,0.001736
22,1028.66,2.08202,1.71784,1.40867,0.57956,0.57994,0.55052,0.21216,2.05677,1.75923,1.47853,0.0017228,0.0017228,0.0017228
23,1073.87,2.08409,1.72971,1.40193,0.69636,0.56541,0.61907,0.23731,2.0436,1.71513,1.48416,0.0017096,0.0017096,0.0017096
24,1118.89,2.06365,1.72062,1.42819,0.65211,0.5776,0.6034,0.23255,1.98864,1.67544,1.481,0.0016964,0.0016964,0.0016964
25,1164.1,2.08263,1.76611,1.4259,0.64068,0.55959,0.58106,0.22462,2.02492,1.71527,1.48375,0.0016832,0.0016832,0.0016832
26,1209.16,2.07424,1.75325,1.43332,0.54408,0.46512,0.48949,0.17129,2.075,1.8612,1.44526,0.00167,0.00167,0.00167
27,1254.34,2.06223,1.74066,1.41106,0.56895,0.55959,0.58765,0.23059,2.00779,1.648,1.52064,0.0016568,0.0016568,0.0016568
28,1299.61,2.07097,1.72513,1.42333,0.66052,0.55669,0.60025,0.23202,2.01066,1.67447,1.46913,0.0016436,0.0016436,0.0016436
29,1344.85,2.01786,1.73464,1.38342,0.66698,0.58866,0.6244,0.22889,1.94239,1.7059,1.41369,0.0016304,0.0016304,0.0016304
30,1390.04,2.06183,1.75541,1.40102,0.72198,0.60174,0.6734,0.2618,1.96039,1.56433,1.42907,0.0016172,0.0016172,0.0016172
31,1435.22,2.03681,1.69831,1.42152,0.60855,0.59448,0.62588,0.24621,1.95095,1.59474,1.44059,0.001604,0.001604,0.001604
32,1480.41,2.05847,1.68796,1.43155,0.72325,0.61919,0.67479,0.24401,2.02121,1.62513,1.49602,0.0015908,0.0015908,0.0015908
33,1525.56,2.03934,1.63745,1.41454,0.66546,0.61583,0.65998,0.25682,1.95693,1.62863,1.49325,0.0015776,0.0015776,0.0015776
34,1570.83,2.04162,1.65934,1.4054,0.55909,0.59157,0.58925,0.23285,1.95518,1.63133,1.42744,0.0015644,0.0015644,0.0015644
35,1615.97,2.0217,1.60689,1.38781,0.62312,0.57849,0.5832,0.20714,2.01654,1.67136,1.49032,0.0015512,0.0015512,0.0015512
36,1660.92,2.02459,1.61497,1.41271,0.72683,0.60029,0.67856,0.25405,1.99103,1.55997,1.51761,0.001538,0.001538,0.001538
37,1706.09,2.00544,1.56449,1.38741,0.75604,0.63081,0.69572,0.25627,2.02378,1.54443,1.48644,0.0015248,0.0015248,0.0015248
38,1751.31,2.00833,1.59686,1.39616,0.63076,0.61576,0.63398,0.24884,1.9544,1.71495,1.45403,0.0015116,0.0015116,0.0015116
39,1796.6,2.01602,1.5993,1.41117,0.70678,0.59559,0.64425,0.24651,1.99561,1.5451,1.46293,0.0014984,0.0014984,0.0014984
40,1841.8,2.01999,1.65821,1.39445,0.73636,0.60465,0.69034,0.26127,1.9971,1.566,1.50945,0.0014852,0.0014852,0.0014852
41,1887.14,2.05974,1.61632,1.39527,0.76442,0.61312,0.71271,0.28377,1.90106,1.52645,1.4015,0.001472,0.001472,0.001472
42,1932.42,2.02205,1.57341,1.36902,0.71524,0.62794,0.68882,0.26478,1.95425,1.52951,1.42597,0.0014588,0.0014588,0.0014588
43,1977.77,1.99528,1.61093,1.38104,0.65223,0.62791,0.6476,0.2382,1.92396,1.69422,1.42566,0.0014456,0.0014456,0.0014456
44,2023.09,2.00785,1.5445,1.3801,0.68949,0.61968,0.67775,0.28385,1.91174,1.5753,1.4303,0.0014324,0.0014324,0.0014324
45,2068.35,2.01185,1.6097,1.37441,0.67335,0.68459,0.67684,0.25944,1.98485,1.60787,1.44521,0.0014192,0.0014192,0.0014192
46,2113.56,1.9983,1.61441,1.37768,0.74855,0.66636,0.69759,0.26131,2.01138,1.58977,1.47784,0.001406,0.001406,0.001406
47,2158.79,1.97459,1.56232,1.35177,0.69693,0.64174,0.68063,0.27011,1.94522,1.59847,1.44324,0.0013928,0.0013928,0.0013928
48,2204.18,2.01394,1.56816,1.38608,0.71548,0.59577,0.68294,0.26999,1.94286,1.5321,1.42374,0.0013796,0.0013796,0.0013796
49,2249.58,1.98292,1.5492,1.37228,0.70301,0.63808,0.67791,0.25654,2.01382,1.51322,1.46864,0.0013664,0.0013664,0.0013664
50,2294.91,1.98893,1.57934,1.36134,0.69854,0.63372,0.67269,0.2659,1.94404,1.53818,1.42379,0.0013532,0.0013532,0.0013532
51,2340.17,1.98997,1.52683,1.36498,0.74236,0.63081,0.69364,0.2711,1.98375,1.46907,1.4247,0.00134,0.00134,0.00134
52,2385.46,1.98683,1.59168,1.36227,0.71964,0.62936,0.69739,0.26964,1.98339,1.47218,1.43123,0.0013268,0.0013268,0.0013268
53,2430.74,1.98934,1.54744,1.36513,0.69572,0.65698,0.68554,0.26597,1.97934,1.47204,1.44955,0.0013136,0.0013136,0.0013136
54,2476,1.98559,1.51604,1.36423,0.67641,0.63372,0.65764,0.24803,1.92764,1.55058,1.42399,0.0013004,0.0013004,0.0013004
55,2521.34,1.97083,1.51137,1.37049,0.72169,0.64829,0.69105,0.27352,1.95776,1.49797,1.43313,0.0012872,0.0012872,0.0012872
56,2566.58,1.98715,1.51995,1.37269,0.71937,0.66279,0.68455,0.2582,2.03725,1.49266,1.49341,0.001274,0.001274,0.001274
57,2611.93,1.96418,1.48903,1.34037,0.75407,0.65552,0.708,0.27239,1.96084,1.5045,1.44387,0.0012608,0.0012608,0.0012608
58,2657.12,1.97964,1.5444,1.36717,0.75433,0.62928,0.71544,0.28594,1.96235,1.48626,1.41982,0.0012476,0.0012476,0.0012476
59,2702.47,1.98177,1.50183,1.34649,0.75709,0.65843,0.70939,0.28245,1.97347,1.49871,1.46279,0.0012344,0.0012344,0.0012344
60,2747.82,1.97931,1.507,1.36902,0.76092,0.60756,0.68991,0.26504,1.96388,1.48519,1.42008,0.0012212,0.0012212,0.0012212
61,2793.04,1.99285,1.58807,1.37052,0.73189,0.61104,0.68533,0.28013,1.91215,1.48235,1.40647,0.001208,0.001208,0.001208
62,2838.39,1.95915,1.5017,1.35132,0.77101,0.64099,0.7187,0.30028,1.91774,1.4301,1.38695,0.0011948,0.0011948,0.0011948
63,2883.7,2.00422,1.51896,1.37707,0.67082,0.57267,0.6495,0.251,1.98333,1.54221,1.41079,0.0011816,0.0011816,0.0011816
64,2929.07,1.95904,1.49183,1.35233,0.77591,0.67297,0.75236,0.29888,1.9342,1.46553,1.41318,0.0011684,0.0011684,0.0011684
65,2974.34,1.96481,1.49249,1.35497,0.76154,0.64826,0.71865,0.28642,1.96278,1.42937,1.43988,0.0011552,0.0011552,0.0011552
66,3019.68,1.95961,1.50345,1.34001,0.72107,0.65262,0.69369,0.26361,2.00464,1.47197,1.45054,0.001142,0.001142,0.001142
67,3065.1,1.95311,1.50218,1.35183,0.73698,0.62645,0.70726,0.28704,1.9077,1.46882,1.39609,0.0011288,0.0011288,0.0011288
68,3110.39,1.95861,1.48059,1.35421,0.74989,0.68023,0.72263,0.27749,1.91971,1.43824,1.43247,0.0011156,0.0011156,0.0011156
69,3155.73,1.96149,1.46605,1.34964,0.796,0.66922,0.74614,0.30213,1.9381,1.48209,1.41315,0.0011024,0.0011024,0.0011024
