epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.9674,3.65489,8.90347,3.18501,0.3181,0.41424,0.29915,0.09421,2.53479,4.87784,2.39517,0.00066455,0.00066455,0.00066455
2,117.12,2.56152,3.52615,2.15239,0.38032,0.44186,0.32843,0.11468,2.30096,2.9804,2.07852,0.00132243,0.00132243,0.00132243
3,158.51,2.43768,2.66431,2.01738,0.40039,0.44331,0.3204,0.11583,2.25299,2.4668,2.04704,0.00197151,0.00197151,0.00197151
4,199.868,2.385,2.23683,1.94992,0.42044,0.52194,0.40237,0.14988,2.15015,2.02255,1.96073,0.0019604,0.0019604,0.0019604
5,241.262,2.29445,2.11982,1.85679,0.44134,0.47093,0.34137,0.12634,2.20963,2.09249,1.99613,0.0019472,0.0019472,0.0019472
6,282.744,2.30433,2.06208,1.84624,0.33733,0.42249,0.2995,0.09159,2.30041,2.21791,2.014,0.001934,0.001934,0.001934
7,324.178,2.27564,1.98243,1.81261,0.43394,0.47912,0.402,0.13068,2.26554,1.95742,1.97377,0.0019208,0.0019208,0.0019208
8,365.543,2.27615,1.97433,1.79797,0.46837,0.49419,0.42305,0.15086,2.15113,1.88837,1.90165,0.0019076,0.0019076,0.0019076
9,406.857,2.22938,1.96792,1.7716,0.48609,0.48547,0.43643,0.1688,2.12491,1.90871,1.87918,0.0018944,0.0018944,0.0018944
10,448.278,2.21662,1.85487,1.75508,0.50217,0.48237,0.44437,0.16037,2.09685,1.92844,1.88451,0.0018812,0.0018812,0.0018812
11,489.641,2.23525,1.89114,1.77737,0.42764,0.49955,0.3882,0.14785,2.01202,1.91339,1.79705,0.001868,0.001868,0.001868
12,531.009,2.17715,1.95191,1.73144,0.47608,0.51599,0.43182,0.16404,2.04761,1.8625,1.82223,0.0018548,0.0018548,0.0018548
13,572.615,2.17087,1.80108,1.70523,0.54867,0.59157,0.53135,0.19647,2.01822,1.74119,1.79882,0.0018416,0.0018416,0.0018416
14,613.943,2.18205,1.87893,1.70898,0.56953,0.55959,0.54303,0.20886,2.06866,1.73694,1.84851,0.0018284,0.0018284,0.0018284
15,655.229,2.19376,1.83949,1.72942,0.51213,0.54651,0.49995,0.18964,2.09534,1.71752,1.84765,0.0018152,0.0018152,0.0018152
16,696.615,2.13041,1.81579,1.68779,0.55765,0.55886,0.5167,0.19852,2.04138,1.73554,1.81831,0.001802,0.001802,0.001802
17,738.09,2.1607,1.79984,1.7351,0.53391,0.51449,0.50751,0.1906,2.05579,1.7057,1.8237,0.0017888,0.0017888,0.0017888
18,779.705,2.13829,1.76586,1.72338,0.57445,0.56395,0.54718,0.20337,2.07519,1.74193,1.83772,0.0017756,0.0017756,0.0017756
19,821.375,2.1253,1.77845,1.7025,0.60835,0.57558,0.5825,0.22502,1.95294,1.731,1.76185,0.0017624,0.0017624,0.0017624
20,863.143,2.15981,1.80937,1.69475,0.50159,0.53343,0.48843,0.18541,2.05785,1.77329,1.81982,0.0017492,0.0017492,0.0017492
21,904.79,2.12884,1.76177,1.68057,0.59293,0.5625,0.58558,0.21045,2.05393,1.6639,1.82329,0.001736,0.001736,0.001736
22,946.472,2.10817,1.69686,1.66925,0.53896,0.52673,0.47621,0.16866,2.09776,1.84503,1.84767,0.0017228,0.0017228,0.0017228
23,988.08,2.12307,1.69858,1.6734,0.60306,0.54651,0.55528,0.22886,2.00977,1.77784,1.78728,0.0017096,0.0017096,0.0017096
24,1029.87,2.09446,1.72044,1.67764,0.65504,0.59884,0.63807,0.23135,2.06399,1.64855,1.82264,0.0016964,0.0016964,0.0016964
25,1071.58,2.12729,1.73935,1.67989,0.62979,0.48692,0.53208,0.20978,1.9973,1.74652,1.79107,0.0016832,0.0016832,0.0016832
26,1113.27,2.11632,1.68834,1.67041,0.56268,0.53634,0.55348,0.2181,1.96232,1.65146,1.75951,0.00167,0.00167,0.00167
27,1154.93,2.08993,1.71748,1.6584,0.62539,0.58285,0.62301,0.23496,1.98548,1.67767,1.76413,0.0016568,0.0016568,0.0016568
28,1196.42,2.09072,1.70599,1.67733,0.586,0.52616,0.5612,0.21633,1.96857,1.65098,1.75628,0.0016436,0.0016436,0.0016436
29,1237.89,2.0599,1.65624,1.64936,0.64176,0.59157,0.6352,0.24122,1.94701,1.61859,1.74809,0.0016304,0.0016304,0.0016304
30,1279.38,2.10392,1.70598,1.66102,0.69279,0.59302,0.65259,0.2679,1.96302,1.54187,1.74564,0.0016172,0.0016172,0.0016172
31,1320.92,2.0619,1.6709,1.65642,0.65353,0.64099,0.64826,0.24486,1.9601,1.62308,1.74378,0.001604,0.001604,0.001604
32,1362.54,2.08903,1.65299,1.67232,0.67433,0.61773,0.66163,0.2524,2.01154,1.57302,1.76456,0.0015908,0.0015908,0.0015908
33,1404.17,2.08861,1.63345,1.6656,0.63944,0.62064,0.65978,0.24862,1.98129,1.67066,1.75551,0.0015776,0.0015776,0.0015776
34,1445.76,2.06355,1.65066,1.6194,0.57923,0.56686,0.56133,0.21321,2.01308,1.6475,1.77216,0.0015644,0.0015644,0.0015644
35,1487.27,2.06001,1.59227,1.6123,0.56203,0.55584,0.50803,0.18283,1.99775,1.67751,1.77471,0.0015512,0.0015512,0.0015512
36,1528.82,2.05727,1.62005,1.6385,0.71422,0.61752,0.67812,0.26359,1.92358,1.55909,1.72097,0.001538,0.001538,0.001538
37,1570.29,2.03796,1.56098,1.62927,0.68997,0.60174,0.63635,0.23268,2.1047,1.58462,1.81982,0.0015248,0.0015248,0.0015248
38,1611.82,2.03622,1.56876,1.61666,0.62977,0.59884,0.62585,0.2392,1.94669,1.65463,1.73374,0.0015116,0.0015116,0.0015116
39,1653.25,2.03373,1.55456,1.64973,0.7467,0.62209,0.697,0.26076,2.05461,1.45956,1.79716,0.0014984,0.0014984,0.0014984
40,1694.77,2.03643,1.6512,1.61613,0.66485,0.62209,0.63614,0.22941,2.03935,1.58982,1.78705,0.0014852,0.0014852,0.0014852
41,1736.29,2.08409,1.58785,1.6395,0.7046,0.63372,0.68153,0.26838,1.98789,1.50474,1.75909,0.001472,0.001472,0.001472
42,1777.77,2.0544,1.59337,1.62778,0.67313,0.61628,0.64417,0.24363,1.96896,1.5914,1.75648,0.0014588,0.0014588,0.0014588
43,1819.44,2.02401,1.59889,1.63699,0.64913,0.65076,0.6313,0.2378,1.96016,1.60687,1.74086,0.0014456,0.0014456,0.0014456
44,1860.97,2.04029,1.567,1.61963,0.69456,0.64781,0.67203,0.26592,1.94075,1.52188,1.72797,0.0014324,0.0014324,0.0014324
45,1902.52,2.02462,1.57001,1.60826,0.5991,0.67006,0.6275,0.2383,1.96003,1.58699,1.74184,0.0014192,0.0014192,0.0014192
46,1944.1,2.03351,1.60648,1.63583,0.67061,0.63517,0.6637,0.2519,1.99972,1.53273,1.75925,0.001406,0.001406,0.001406
47,1985.63,2.01581,1.54305,1.60441,0.72802,0.61471,0.69106,0.26815,1.96036,1.5388,1.74218,0.0013928,0.0013928,0.0013928
48,2027.13,2.034,1.57858,1.63051,0.67427,0.63663,0.66657,0.27154,1.9153,1.53074,1.70396,0.0013796,0.0013796,0.0013796
49,2068.53,2.02243,1.54788,1.6217,0.67832,0.61337,0.65297,0.25086,1.98607,1.49926,1.76216,0.0013664,0.0013664,0.0013664
50,2109.99,1.99908,1.57256,1.62275,0.68071,0.625,0.65734,0.25517,1.97352,1.51886,1.7418,0.0013532,0.0013532,0.0013532
51,2151.38,2.0196,1.49235,1.62389,0.72117,0.609,0.66368,0.24494,2.05495,1.51913,1.79494,0.00134,0.00134,0.00134
52,2192.77,2.00871,1.60071,1.58692,0.70662,0.60756,0.67512,0.26428,1.97051,1.49784,1.74224,0.0013268,0.0013268,0.0013268
53,2234.4,2.02664,1.55569,1.61012,0.65521,0.63251,0.66545,0.26338,1.92022,1.49186,1.7164,0.0013136,0.0013136,0.0013136
54,2275.94,1.99601,1.4988,1.60491,0.72919,0.65359,0.70133,0.28767,1.92371,1.42947,1.71854,0.0013004,0.0013004,0.0013004
55,2317.48,2.00129,1.49973,1.61723,0.72034,0.62209,0.68452,0.26996,1.95679,1.47937,1.74477,0.0012872,0.0012872,0.0012872
56,2358.95,1.99525,1.50535,1.60186,0.67226,0.58285,0.63651,0.24943,2.01349,1.50782,1.77068,0.001274,0.001274,0.001274
57,2400.44,1.98102,1.48365,1.56954,0.77282,0.64774,0.71359,0.2876,1.96056,1.45638,1.74085,0.0012608,0.0012608,0.0012608
58,2442,2.02372,1.5141,1.6076,0.74606,0.63081,0.68912,0.27793,1.94867,1.46112,1.72993,0.0012476,0.0012476,0.0012476
59,2483.63,2.00003,1.47461,1.57585,0.74738,0.63211,0.70103,0.28238,1.94859,1.49048,1.72953,0.0012344,0.0012344,0.0012344
60,2525.15,1.9978,1.50273,1.59931,0.75007,0.62814,0.70552,0.2764,1.93276,1.45974,1.71306,0.0012212,0.0012212,0.0012212
61,2566.69,2.01741,1.53969,1.62028,0.71913,0.65262,0.69518,0.28215,1.90816,1.42315,1.70645,0.001208,0.001208,0.001208
62,2608.23,1.98314,1.50568,1.59801,0.71145,0.64149,0.70057,0.28386,1.89025,1.41276,1.70612,0.0011948,0.0011948,0.0011948
63,2649.8,2.016,1.52543,1.59428,0.71209,0.63808,0.69897,0.28639,1.93851,1.44432,1.72143,0.0011816,0.0011816,0.0011816
64,2691.49,1.99143,1.45926,1.60212,0.79513,0.65843,0.73563,0.29713,1.9554,1.38175,1.73639,0.0011684,0.0011684,0.0011684
65,2733.34,1.9757,1.45117,1.58815,0.76227,0.68459,0.72909,0.2932,1.95443,1.42229,1.73978,0.0011552,0.0011552,0.0011552
66,2775.09,1.97196,1.48595,1.56298,0.76903,0.65333,0.72054,0.2912,1.95512,1.42135,1.73073,0.001142,0.001142,0.001142
