epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1678,2.77735,6.91921,1.45322,0.34627,0.38081,0.28253,0.08717,2.42676,4.27166,1.40763,0.00066455,0.00066455,0.00066455
2,92.6991,2.47572,2.9688,1.3319,0.3897,0.47674,0.34795,0.12016,2.30163,2.39928,1.37528,0.00132243,0.00132243,0.00132243
3,121.295,2.40828,2.30234,1.32171,0.41526,0.45494,0.36813,0.14298,2.1702,2.2522,1.31378,0.00197151,0.00197151,0.00197151
4,149.58,2.40877,2.019,1.31133,0.43122,0.40262,0.3568,0.12735,2.27125,2.16189,1.33977,0.0019604,0.0019604,0.0019604
5,177.702,2.34634,1.99415,1.28087,0.51107,0.5436,0.4834,0.19174,2.10953,1.80517,1.28649,0.0019472,0.0019472,0.0019472
6,206.004,2.3469,1.94953,1.28242,0.44997,0.41715,0.35829,0.11401,2.31943,2.04267,1.35709,0.001934,0.001934,0.001934
7,234.127,2.37147,1.96194,1.27966,0.43766,0.47238,0.37842,0.11416,2.38824,1.91488,1.37927,0.0019208,0.0019208,0.0019208
8,262.237,2.32119,1.88191,1.25942,0.568,0.51163,0.50597,0.18714,2.14955,1.97551,1.29404,0.0019076,0.0019076,0.0019076
9,290.348,2.2961,1.8923,1.25097,0.62896,0.57413,0.55565,0.19852,2.2254,1.69372,1.32083,0.0018944,0.0018944,0.0018944
10,318.493,2.28078,1.76712,1.2522,0.55659,0.47238,0.44637,0.15536,2.24001,1.75075,1.33482,0.0018812,0.0018812,0.0018812
11,346.65,2.27119,1.79517,1.25101,0.41838,0.44331,0.3715,0.13285,2.25605,2.17412,1.32521,0.001868,0.001868,0.001868
12,374.703,2.27078,1.81691,1.24077,0.58181,0.48256,0.51816,0.19023,2.10066,1.69607,1.27658,0.0018548,0.0018548,0.0018548
13,402.832,2.23373,1.70846,1.21635,0.53825,0.53779,0.48694,0.17497,2.10037,1.64146,1.26189,0.0018416,0.0018416,0.0018416
