epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8587,1.98987,17.2596,2.02831,0.36597,0.46948,0.33393,0.10803,1.12693,4.86401,1.57123,0.00066455,0.00066455,0.00066455
2,80.8217,1.19746,3.48167,1.42039,0.40407,0.42733,0.34782,0.12477,0.95169,2.69168,1.37899,0.00132243,0.00132243,0.00132243
3,106.914,1.15967,2.45509,1.37655,0.47847,0.27603,0.30487,0.11213,0.97603,2.8544,1.39197,0.00197151,0.00197151,0.00197151
4,132.325,1.10809,1.96673,1.33952,0.60146,0.47093,0.50371,0.18375,0.93097,1.83707,1.33361,0.0019604,0.0019604,0.0019604
5,158.054,1.07073,1.86772,1.28722,0.5538,0.55923,0.52201,0.19049,0.91797,1.6236,1.32769,0.0019472,0.0019472,0.0019472
6,183.597,1.09124,1.84162,1.29613,0.43965,0.55766,0.38341,0.11327,1.01361,1.77922,1.36324,0.001934,0.001934,0.001934
7,209.318,1.11177,1.77609,1.2907,0.44781,0.48211,0.36058,0.12842,0.94805,2.01078,1.33205,0.0019208,0.0019208,0.0019208
8,235.088,1.07686,1.72869,1.26366,0.54652,0.56395,0.49081,0.17653,0.87184,1.6212,1.29957,0.0019076,0.0019076,0.0019076
9,260.9,1.09289,1.77725,1.2627,0.36427,0.53488,0.28919,0.10574,0.92414,2.30268,1.31495,0.0018944,0.0018944,0.0018944
10,286.579,1.08251,1.67191,1.25296,0.30806,0.55233,0.26083,0.09339,0.86928,2.09035,1.29156,0.0018812,0.0018812,0.0018812
11,312.784,1.09878,1.63301,1.25609,0.51005,0.50992,0.43529,0.14826,0.9199,1.63284,1.30542,0.001868,0.001868,0.001868
12,338.448,1.10831,1.70006,1.24174,0.20193,0.54506,0.16788,0.0642,0.89628,3.47743,1.28166,0.0018548,0.0018548,0.0018548
13,364.192,1.0686,1.59734,1.2154,0.16038,0.59738,0.13443,0.0471,0.95689,6.77003,1.30695,0.0018416,0.0018416,0.0018416
14,389.892,1.12473,1.66261,1.22559,0.62849,0.57703,0.54435,0.18912,0.87772,1.56823,1.27413,0.0018284,0.0018284,0.0018284
15,415.624,1.14655,1.66905,1.24209,0.45353,0.6061,0.38527,0.14523,0.86196,1.92527,1.26746,0.0018152,0.0018152,0.0018152
16,441.608,1.1167,1.62695,1.21641,0.54981,0.53075,0.51599,0.19727,0.82835,1.56089,1.26338,0.001802,0.001802,0.001802
17,467.3,1.13059,1.60955,1.24656,0.53936,0.5843,0.50591,0.16081,0.91415,1.53726,1.28502,0.0017888,0.0017888,0.0017888
18,493.298,1.1271,1.6273,1.22673,0.619,0.53343,0.54411,0.18419,0.98968,1.67101,1.33815,0.0017756,0.0017756,0.0017756
19,519.397,1.12678,1.60286,1.22356,0.63246,0.57849,0.59837,0.22159,0.81751,1.44564,1.23082,0.0017624,0.0017624,0.0017624
20,545.097,1.14729,1.60091,1.20409,0.54576,0.53264,0.49708,0.18132,0.88078,1.53483,1.27068,0.0017492,0.0017492,0.0017492
21,571.217,1.1662,1.57593,1.2152,0.50216,0.57703,0.49359,0.17058,0.89949,1.56012,1.26402,0.001736,0.001736,0.001736
22,597.163,1.11904,1.49139,1.18637,0.55849,0.5843,0.55368,0.19741,0.84575,1.43967,1.24134,0.0017228,0.0017228,0.0017228
23,623.189,1.16675,1.49964,1.20187,0.6975,0.625,0.64468,0.23919,0.84718,1.43448,1.24515,0.0017096,0.0017096,0.0017096
24,649.039,1.14294,1.53289,1.20412,0.71918,0.55233,0.61714,0.23008,0.89251,1.39151,1.26843,0.0016964,0.0016964,0.0016964
25,674.573,1.15846,1.52736,1.19477,0.53565,0.57703,0.54297,0.19731,0.91067,1.50975,1.26792,0.0016832,0.0016832,0.0016832
26,700.114,1.21997,1.48986,1.21671,0.47344,0.61337,0.39857,0.14738,0.84443,4.43414,1.23662,0.00167,0.00167,0.00167
27,725.837,1.14842,1.48412,1.19041,0.61257,0.57703,0.56059,0.20606,0.8752,1.42183,1.25595,0.0016568,0.0016568,0.0016568
28,751.705,1.20537,1.49975,1.21163,0.59833,0.54797,0.57491,0.21573,0.87707,1.4552,1.24919,0.0016436,0.0016436,0.0016436
29,777.698,1.16531,1.48735,1.19149,0.53939,0.49564,0.47073,0.15753,0.92842,1.56167,1.27099,0.0016304,0.0016304,0.0016304
30,803.335,1.20696,1.5214,1.19582,0.64264,0.6061,0.59481,0.21495,0.88127,1.39845,1.25027,0.0016172,0.0016172,0.0016172
