epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.307,2.6923,17.0135,1.70741,0.38457,0.25926,0.23044,0.07651,2.32987,22.7069,1.63358,0.000664,0.000664,0.000664
2,309.12,2.54891,5.39522,1.66308,0.3573,0.25926,0.23969,0.07514,2.29345,7.29829,1.53366,0.00131749,0.00131749,0.00131749
3,454.03,2.50108,2.98157,1.6931,0.37668,0.32901,0.24219,0.07645,2.47695,3.51172,1.69723,0.00195779,0.00195779,0.00195779
4,598.837,2.4965,2.4692,1.70394,0.52661,0.37778,0.36634,0.1224,2.2676,12.08,1.62206,0.0019406,0.0019406,0.0019406
5,743.325,2.40987,2.12636,1.68808,0.4666,0.44815,0.41298,0.1391,2.14538,3.60677,1.55502,0.0019208,0.0019208,0.0019208
6,887.8,2.3841,2.11299,1.64442,0.41562,0.41852,0.36787,0.11158,2.29774,2.25617,1.60293,0.001901,0.001901,0.001901
7,1032.09,2.35742,2.04058,1.58951,0.49339,0.35556,0.36776,0.11161,2.19586,2.19353,1.61318,0.0018812,0.0018812,0.0018812
8,1176.54,2.37939,2.05554,1.62865,0.49373,0.40741,0.40057,0.13424,2.15177,2.13416,1.55756,0.0018614,0.0018614,0.0018614
9,1320.84,2.32261,1.89975,1.57037,0.39046,0.41111,0.33136,0.10803,2.23877,1.96409,1.56586,0.0018416,0.0018416,0.0018416
10,1465.58,2.32063,1.92747,1.57415,0.6993,0.34815,0.3844,0.14362,2.00682,4.20757,1.4764,0.0018218,0.0018218,0.0018218
11,1609.58,2.27166,1.90259,1.54685,0.41842,0.41852,0.39102,0.13768,2.15439,1.9906,1.54811,0.001802,0.001802,0.001802
12,1753.49,2.27498,1.82458,1.56008,0.71532,0.40017,0.49167,0.19025,2.07693,1.65658,1.48574,0.0017822,0.0017822,0.0017822
13,1897.5,2.28465,1.98903,1.53489,0.58619,0.45926,0.48059,0.16643,2.05296,2.11377,1.50546,0.0017624,0.0017624,0.0017624
14,2041.65,2.2995,1.87563,1.54564,0.7185,0.48519,0.51359,0.19208,2.04555,1.76002,1.4782,0.0017426,0.0017426,0.0017426
15,2185.82,2.33843,1.81906,1.58151,0.66116,0.46252,0.50369,0.17446,2.09673,3.45905,1.51369,0.0017228,0.0017228,0.0017228
16,2329.91,2.23571,1.79988,1.54362,0.47416,0.39259,0.41665,0.1578,2.05608,1.82542,1.4883,0.001703,0.001703,0.001703
17,2474.05,2.27207,1.89363,1.56073,0.5588,0.41481,0.48817,0.1707,2.0281,1.75184,1.49304,0.0016832,0.0016832,0.0016832
18,2617.88,2.27587,1.83264,1.5225,0.71024,0.43333,0.50802,0.19802,2.0228,2.93298,1.46933,0.0016634,0.0016634,0.0016634
19,2761.8,2.25052,1.75003,1.51624,0.68964,0.46088,0.55121,0.19894,2.07118,1.62686,1.48559,0.0016436,0.0016436,0.0016436
20,2905.83,2.22521,1.75031,1.52324,0.70108,0.47037,0.52296,0.19043,2.05109,1.75532,1.48199,0.0016238,0.0016238,0.0016238
21,3049.99,2.24349,1.88773,1.50671,0.62096,0.449,0.5307,0.19997,2.00914,1.52673,1.45047,0.001604,0.001604,0.001604
22,3194.17,2.21785,1.75754,1.52372,0.68451,0.48519,0.57443,0.21422,1.98228,1.64833,1.46633,0.0015842,0.0015842,0.0015842
23,3338.48,2.25013,1.7928,1.53327,0.68812,0.44074,0.52126,0.17942,1.9705,2.01591,1.46759,0.0015644,0.0015644,0.0015644
24,3482.61,2.17777,1.6976,1.49879,0.64058,0.48519,0.50227,0.18,1.99564,2.89851,1.44922,0.0015446,0.0015446,0.0015446
25,3626.44,2.1533,1.77838,1.46733,0.6831,0.42314,0.51691,0.18951,2.11154,1.57342,1.5054,0.0015248,0.0015248,0.0015248
26,3770.87,2.21309,1.65593,1.51062,0.72207,0.45926,0.56186,0.21714,2.01371,1.54268,1.42592,0.001505,0.001505,0.001505
27,3915.09,2.23353,1.69398,1.5127,0.62336,0.51852,0.53568,0.20021,1.98219,1.7852,1.44609,0.0014852,0.0014852,0.0014852
28,4059.38,2.26275,1.71502,1.53658,0.66866,0.47836,0.55513,0.21249,1.94353,1.74846,1.41348,0.0014654,0.0014654,0.0014654
29,4203.56,2.199,1.77689,1.47021,0.55217,0.46667,0.48515,0.14914,2.04489,2.23607,1.45861,0.0014456,0.0014456,0.0014456
30,4347.73,2.23874,1.66815,1.54814,0.6425,0.54444,0.59457,0.21509,2.00888,1.39409,1.44394,0.0014258,0.0014258,0.0014258
31,4492,2.22223,1.71346,1.50733,0.70076,0.53774,0.61076,0.22215,2.01949,1.64759,1.4413,0.001406,0.001406,0.001406
32,4636.25,2.2189,1.73094,1.49956,0.65678,0.5,0.56273,0.20904,2.01525,1.57234,1.43484,0.0013862,0.0013862,0.0013862
33,4780.5,2.2238,1.66388,1.50422,0.58326,0.53911,0.5848,0.21285,2.03492,1.84209,1.44733,0.0013664,0.0013664,0.0013664
34,4924.54,2.17706,1.59541,1.49266,0.55892,0.47037,0.52196,0.18864,2.00529,1.49497,1.42587,0.0013466,0.0013466,0.0013466
35,5068.84,2.23583,1.67893,1.51366,0.70334,0.52963,0.59806,0.20406,2.04701,1.85399,1.46435,0.0013268,0.0013268,0.0013268
36,5213.14,2.19373,1.64914,1.49862,0.59525,0.48148,0.54324,0.20427,2.00483,1.52712,1.45275,0.001307,0.001307,0.001307
37,5357.24,2.15456,1.66646,1.48695,0.71276,0.51481,0.56674,0.20239,2.00474,1.86249,1.4295,0.0012872,0.0012872,0.0012872
38,5501.34,2.1802,1.61829,1.47606,0.57927,0.47037,0.53344,0.18533,2.06004,1.58236,1.44132,0.0012674,0.0012674,0.0012674
39,5645.63,2.20944,1.60006,1.4973,0.6686,0.52306,0.58466,0.21196,1.99035,1.7594,1.41838,0.0012476,0.0012476,0.0012476
40,5789.82,2.19667,1.63506,1.5143,0.66972,0.51069,0.59497,0.22197,1.97446,1.46123,1.41589,0.0012278,0.0012278,0.0012278
41,5934.21,2.18509,1.68207,1.50731,0.67016,0.48889,0.55978,0.1876,2.00116,2.04723,1.43617,0.001208,0.001208,0.001208
42,6078.17,2.1461,1.60404,1.43863,0.66339,0.4963,0.56095,0.20189,1.94722,1.56679,1.39223,0.0011882,0.0011882,0.0011882
43,6222.54,2.21581,1.62043,1.5076,0.76225,0.52593,0.60732,0.2354,1.97401,1.54012,1.41257,0.0011684,0.0011684,0.0011684
44,6366.74,2.16028,1.67145,1.45956,0.65437,0.51852,0.57504,0.20901,1.97978,1.6068,1.40711,0.0011486,0.0011486,0.0011486
45,6510.87,2.13593,1.52604,1.46271,0.59718,0.46296,0.54478,0.2169,1.9633,1.43543,1.41019,0.0011288,0.0011288,0.0011288
