epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1694,2.6295,22.6899,1.1794,0.39946,0.32222,0.24815,0.07748,2.45349,33.1046,1.21029,0.000664,0.000664,0.000664
2,77.0058,2.69557,6.98241,1.2022,0.48667,0.26296,0.30695,0.10188,2.22502,7.72587,1.14932,0.00131749,0.00131749,0.00131749
3,106.153,2.6275,2.96736,1.21876,0.52301,0.34925,0.33748,0.10975,2.44732,3.93394,1.2034,0.00195779,0.00195779,0.00195779
4,135.29,2.63834,2.21139,1.21521,0.50819,0.37123,0.36941,0.12397,2.35912,4.5115,1.17197,0.0019406,0.0019406,0.0019406
5,164.334,2.55253,1.94524,1.21416,0.45188,0.42222,0.38599,0.13884,2.31499,2.39172,1.1309,0.0019208,0.0019208,0.0019208
6,193.492,2.49628,1.94283,1.17403,0.47934,0.47037,0.4391,0.13287,2.51201,1.73004,1.17495,0.001901,0.001901,0.001901
7,222.455,2.45801,1.85147,1.14024,0.65529,0.42963,0.50445,0.17416,2.22467,1.87806,1.10687,0.0018812,0.0018812,0.0018812
8,251.48,2.46772,1.87698,1.14806,0.48876,0.46667,0.41652,0.14116,2.25287,2.00859,1.10667,0.0018614,0.0018614,0.0018614
9,280.489,2.43166,1.69509,1.12483,0.58929,0.45185,0.49079,0.16492,2.15708,2.08999,1.10129,0.0018416,0.0018416,0.0018416
10,309.394,2.47482,1.77561,1.15195,0.59527,0.43034,0.4669,0.16417,2.29869,2.23885,1.12229,0.0018218,0.0018218,0.0018218
11,338.438,2.43954,1.72021,1.11883,0.57486,0.42222,0.42811,0.15386,2.23103,1.68968,1.11364,0.001802,0.001802,0.001802
12,367.506,2.39622,1.66945,1.11473,0.70471,0.45556,0.52025,0.19269,2.21277,1.51249,1.07186,0.0017822,0.0017822,0.0017822
13,396.577,2.39305,1.75281,1.09796,0.72624,0.49127,0.53723,0.19929,2.2181,1.44253,1.10722,0.0017624,0.0017624,0.0017624
14,425.601,2.44878,1.7031,1.1213,0.62809,0.5004,0.50457,0.17907,2.11207,1.48798,1.10232,0.0017426,0.0017426,0.0017426
15,454.504,2.42706,1.67317,1.1426,0.61893,0.49259,0.49564,0.16367,2.29966,1.83571,1.1477,0.0017228,0.0017228,0.0017228
16,483.771,2.35808,1.58799,1.11685,0.66233,0.5,0.51941,0.18439,2.17037,1.78361,1.08392,0.001703,0.001703,0.001703
17,512.818,2.39259,1.62632,1.13761,0.67697,0.43333,0.48494,0.1681,2.17544,1.58814,1.09238,0.0016832,0.0016832,0.0016832
18,541.873,2.36978,1.65566,1.10926,0.66546,0.47778,0.51709,0.20003,2.13797,1.50021,1.11007,0.0016634,0.0016634,0.0016634
19,570.798,2.38058,1.6136,1.10137,0.66798,0.46945,0.52162,0.18326,2.12898,1.60843,1.0728,0.0016436,0.0016436,0.0016436
20,599.909,2.36165,1.54988,1.11075,0.73573,0.48463,0.54376,0.19894,2.23018,1.40705,1.10077,0.0016238,0.0016238,0.0016238
21,628.98,2.41093,1.69749,1.10321,0.70882,0.47037,0.53444,0.20569,2.1281,1.4734,1.06439,0.001604,0.001604,0.001604
22,658.189,2.34783,1.56778,1.10987,0.68784,0.42222,0.50514,0.18668,2.1148,1.53349,1.08074,0.0015842,0.0015842,0.0015842
23,687.219,2.37229,1.59358,1.11466,0.76359,0.45185,0.56072,0.20679,2.0826,1.45264,1.0605,0.0015644,0.0015644,0.0015644
24,716.484,2.2696,1.45308,1.08782,0.73686,0.46667,0.53537,0.20112,2.05916,1.73812,1.0617,0.0015446,0.0015446,0.0015446
25,745.599,2.26868,1.54482,1.07205,0.79997,0.48519,0.5476,0.18584,2.21119,1.51667,1.08579,0.0015248,0.0015248,0.0015248
26,774.783,2.29677,1.50184,1.0939,0.67629,0.48747,0.55892,0.21007,2.15911,1.34772,1.06619,0.001505,0.001505,0.001505
27,803.803,2.32062,1.51483,1.08796,0.79408,0.52846,0.59499,0.23599,2.07137,1.52904,1.03541,0.0014852,0.0014852,0.0014852
28,833.078,2.38013,1.55269,1.1121,0.78097,0.52963,0.58879,0.21129,2.08994,1.8459,1.05788,0.0014654,0.0014654,0.0014654
29,862.277,2.31716,1.5613,1.07086,0.70607,0.54074,0.59098,0.20376,2.13356,1.42448,1.06578,0.0014456,0.0014456,0.0014456
30,891.397,2.37348,1.50293,1.11977,0.74762,0.57407,0.62791,0.22969,2.05255,1.44806,1.0512,0.0014258,0.0014258,0.0014258
31,920.808,2.36593,1.55006,1.0947,0.71326,0.4975,0.56181,0.20341,2.04566,1.37231,1.04366,0.001406,0.001406,0.001406
32,949.795,2.32054,1.53269,1.08444,0.73518,0.50383,0.57935,0.2287,2.06255,1.27447,1.04385,0.0013862,0.0013862,0.0013862
33,978.731,2.32107,1.47973,1.08366,0.70705,0.52963,0.59579,0.22317,2.13421,1.52559,1.03988,0.0013664,0.0013664,0.0013664
34,1007.76,2.2776,1.4436,1.08369,0.60234,0.47407,0.53813,0.18718,2.19063,1.47652,1.06934,0.0013466,0.0013466,0.0013466
35,1036.93,2.31143,1.48306,1.09879,0.74308,0.5037,0.5855,0.20557,2.17912,1.43965,1.04877,0.0013268,0.0013268,0.0013268
36,1066.38,2.27542,1.44282,1.0784,0.79745,0.48889,0.58032,0.20361,2.12021,1.3873,1.04433,0.001307,0.001307,0.001307
37,1095.5,2.27329,1.47005,1.08558,0.72582,0.52593,0.58398,0.22436,2.0338,1.50152,1.04289,0.0012872,0.0012872,0.0012872
38,1124.74,2.29529,1.43962,1.08812,0.61637,0.45556,0.50887,0.16842,2.31403,1.47735,1.09273,0.0012674,0.0012674,0.0012674
39,1153.95,2.2911,1.45956,1.08549,0.70398,0.53333,0.59174,0.21605,2.15942,1.52474,1.05065,0.0012476,0.0012476,0.0012476
40,1183.07,2.28187,1.49725,1.08015,0.77495,0.48889,0.58324,0.21597,2.09536,1.3517,1.04331,0.0012278,0.0012278,0.0012278
41,1212.36,2.36053,1.48646,1.10678,0.61908,0.54775,0.56115,0.18673,2.2029,1.49849,1.06741,0.001208,0.001208,0.001208
42,1241.55,2.26567,1.44089,1.04921,0.71782,0.48148,0.55428,0.19096,2.16751,1.46246,1.06915,0.0011882,0.0011882,0.0011882
43,1270.7,2.34049,1.43076,1.09535,0.81972,0.51852,0.60599,0.22597,2.08508,1.30155,1.04718,0.0011684,0.0011684,0.0011684
44,1300.29,2.25483,1.48957,1.05424,0.82219,0.51377,0.58489,0.21803,2.0839,1.4323,1.02989,0.0011486,0.0011486,0.0011486
45,1329.53,2.19008,1.36341,1.05387,0.63462,0.46317,0.55056,0.20043,2.10657,1.40779,1.04507,0.0011288,0.0011288,0.0011288
46,1358.74,2.24334,1.47003,1.06265,0.74869,0.51852,0.59258,0.20823,2.12887,1.36725,1.05907,0.001109,0.001109,0.001109
47,1387.94,2.25528,1.46711,1.07145,0.73827,0.5037,0.59221,0.20615,2.09736,1.41784,1.0575,0.0010892,0.0010892,0.0010892
48,1417.2,2.32268,1.48392,1.09965,0.76877,0.49254,0.59575,0.21561,2.0768,1.38208,1.04029,0.0010694,0.0010694,0.0010694
49,1446.35,2.28577,1.4015,1.08285,0.76464,0.56553,0.63829,0.2359,2.07331,1.39175,1.0403,0.0010496,0.0010496,0.0010496
50,1475.57,2.24596,1.39765,1.07412,0.82334,0.55185,0.65279,0.23731,2.06226,1.31837,1.03781,0.0010298,0.0010298,0.0010298
51,1504.94,2.22735,1.37747,1.06575,0.76576,0.51852,0.61238,0.23442,2.05513,1.36046,1.03994,0.00101,0.00101,0.00101
52,1534.26,2.20846,1.42905,1.0566,0.76581,0.51852,0.61941,0.22769,2.16681,1.34233,1.03755,0.0009902,0.0009902,0.0009902
53,1563.28,2.21657,1.41231,1.06255,0.7742,0.52222,0.59308,0.21899,2.13547,1.44863,1.03705,0.0009704,0.0009704,0.0009704
