epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9916,2.53957,5.94322,1.34001,0.36634,0.39826,0.31968,0.11816,2.24887,4.0822,1.34242,0.00066455,0.00066455,0.00066455
2,55.6768,2.38388,2.92053,1.29776,0.31422,0.5436,0.25694,0.09143,2.27985,2.53864,1.36106,0.00132243,0.00132243,0.00132243
3,78.4981,2.35626,2.33354,1.29642,0.35959,0.37209,0.24808,0.09095,2.2891,2.59675,1.32858,0.00197151,0.00197151,0.00197151
4,101.238,2.38563,2.01413,1.30802,0.51326,0.5436,0.49231,0.18138,2.18067,1.74775,1.31376,0.0019604,0.0019604,0.0019604
5,124.08,2.33684,1.99168,1.26865,0.38053,0.38517,0.28166,0.09472,2.3024,2.2543,1.34444,0.0019472,0.0019472,0.0019472
6,147.222,2.30729,1.88681,1.26982,0.36341,0.48983,0.32618,0.09746,2.33512,1.86544,1.3639,0.001934,0.001934,0.001934
7,170.406,2.31578,1.86098,1.25908,0.48273,0.49709,0.45202,0.14492,2.35346,1.76963,1.37662,0.0019208,0.0019208,0.0019208
8,193.458,2.25058,1.77752,1.23432,0.54666,0.55384,0.50122,0.16872,2.11811,1.96612,1.27676,0.0019076,0.0019076,0.0019076
9,216.638,2.25931,1.80005,1.2431,0.64053,0.5407,0.57293,0.21613,2.1668,1.57418,1.29807,0.0018944,0.0018944,0.0018944
10,239.784,2.226,1.72951,1.23238,0.48141,0.50464,0.48254,0.18033,2.08746,1.80558,1.26435,0.0018812,0.0018812,0.0018812
11,263.451,2.21928,1.70797,1.22289,0.56171,0.55378,0.5307,0.18554,2.10973,1.5758,1.2633,0.001868,0.001868,0.001868
12,287.842,2.20775,1.75753,1.21612,0.4584,0.5814,0.50685,0.18478,2.10862,1.71798,1.26738,0.0018548,0.0018548,0.0018548
13,311.676,2.17904,1.63861,1.20121,0.52625,0.57849,0.55809,0.20541,2.06396,1.5691,1.25351,0.0018416,0.0018416,0.0018416
14,335.55,2.2268,1.74639,1.20061,0.55945,0.5843,0.53868,0.19292,2.09387,1.55011,1.24964,0.0018284,0.0018284,0.0018284
15,359.333,2.25486,1.70431,1.21872,0.5731,0.53634,0.5368,0.20965,2.0697,1.61634,1.25017,0.0018152,0.0018152,0.0018152
16,382.554,2.1537,1.66957,1.19177,0.67442,0.56105,0.6101,0.22683,2.05414,1.50566,1.25377,0.001802,0.001802,0.001802
17,406.184,2.18389,1.68102,1.21492,0.46744,0.55378,0.44561,0.14904,2.19731,1.64415,1.28421,0.0017888,0.0017888,0.0017888
18,429.361,2.1751,1.63714,1.19892,0.63104,0.60904,0.62676,0.22262,2.11875,1.47145,1.26045,0.0017756,0.0017756,0.0017756
19,452.579,2.15994,1.62356,1.19432,0.57279,0.61777,0.55052,0.20332,1.97357,1.49509,1.21299,0.0017624,0.0017624,0.0017624
20,475.887,2.19076,1.6553,1.18739,0.56922,0.55696,0.54093,0.20276,2.05608,1.47647,1.24296,0.0017492,0.0017492,0.0017492
21,499.133,2.16602,1.60085,1.18798,0.69876,0.61337,0.62949,0.21907,2.09721,1.45792,1.23871,0.001736,0.001736,0.001736
22,522.622,2.13618,1.49639,1.16452,0.66115,0.55669,0.58264,0.22492,2.03283,1.51225,1.22176,0.0017228,0.0017228,0.0017228
23,545.677,2.15599,1.52832,1.17641,0.60478,0.59012,0.56864,0.21165,2.06506,1.50394,1.24105,0.0017096,0.0017096,0.0017096
24,568.918,2.10667,1.57602,1.17681,0.6346,0.56105,0.5495,0.20114,2.05859,1.50603,1.23216,0.0016964,0.0016964,0.0016964
25,591.934,2.14356,1.56711,1.17315,0.66003,0.57001,0.56254,0.20676,2.08222,1.45208,1.24846,0.0016832,0.0016832,0.0016832
26,615.265,2.16831,1.53213,1.18412,0.68108,0.55562,0.61704,0.2376,1.9949,1.44878,1.21344,0.00167,0.00167,0.00167
27,638.536,2.11401,1.53912,1.17141,0.65664,0.58285,0.60166,0.22544,2.07748,1.40924,1.23616,0.0016568,0.0016568,0.0016568
28,661.942,2.13761,1.5685,1.18237,0.60319,0.55959,0.55298,0.2139,2.03214,1.49496,1.22234,0.0016436,0.0016436,0.0016436
29,685.357,2.10549,1.53961,1.17147,0.61163,0.57703,0.54263,0.17727,2.11548,1.57579,1.25109,0.0016304,0.0016304,0.0016304
30,708.607,2.14644,1.58241,1.17635,0.66149,0.63372,0.59587,0.22374,2.03726,1.44718,1.22123,0.0016172,0.0016172,0.0016172
31,731.839,2.10126,1.54413,1.17247,0.62989,0.59448,0.59933,0.23081,1.98814,1.43412,1.20838,0.001604,0.001604,0.001604
32,755.144,2.12234,1.50293,1.17535,0.58102,0.64535,0.50891,0.18318,2.06186,1.69389,1.22515,0.0015908,0.0015908,0.0015908
33,778.33,2.1306,1.5006,1.17463,0.55705,0.625,0.53144,0.19265,2.07683,1.48748,1.23998,0.0015776,0.0015776,0.0015776
34,801.406,2.11322,1.50327,1.14721,0.5597,0.58017,0.48294,0.17922,2.00382,1.47488,1.19954,0.0015644,0.0015644,0.0015644
35,824.831,2.08859,1.46443,1.13944,0.50289,0.57994,0.45456,0.15961,2.07236,1.56691,1.23659,0.0015512,0.0015512,0.0015512
