epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.5993,3.24674,15.3327,2.10438,0.38616,0.41134,0.2685,0.08702,2.54111,4.83584,1.57365,0.00066455,0.00066455,0.00066455
2,86.4442,2.59645,3.46603,1.48162,0.4213,0.41903,0.33412,0.10719,2.63857,3.16796,1.61847,0.00132243,0.00132243,0.00132243
3,121.359,2.48956,2.56047,1.42907,0.00749,0.7311,0.00692,0.00276,2.30315,499.985,1.50381,0.00197151,0.00197151,0.00197151
4,155.408,2.47265,2.20092,1.40036,0.42626,0.45679,0.35707,0.13178,2.39397,2.07162,1.43828,0.0019604,0.0019604,0.0019604
5,190.068,2.36098,2.05088,1.33501,0.41986,0.41424,0.30147,0.11503,2.15762,2.1181,1.34721,0.0019472,0.0019472,0.0019472
6,224.4,2.39171,2.0062,1.35132,0.33179,0.50953,0.27425,0.09534,2.20504,2.18677,1.33905,0.001934,0.001934,0.001934
7,258.026,2.36725,2.07082,1.32772,0.37881,0.46802,0.33804,0.11855,2.2332,1.95961,1.36025,0.0019208,0.0019208,0.0019208
8,291.954,2.40083,1.99382,1.32395,0.49716,0.46948,0.43751,0.15067,2.1975,1.97917,1.34584,0.0019076,0.0019076,0.0019076
9,326.14,2.33807,1.97751,1.30037,0.49012,0.46525,0.42562,0.15974,2.1922,1.85028,1.33672,0.0018944,0.0018944,0.0018944
10,360.924,2.3229,1.89145,1.2922,0.45854,0.51599,0.43289,0.14939,2.25033,1.9216,1.37485,0.0018812,0.0018812,0.0018812
11,394.49,2.35127,1.88642,1.30236,0.50147,0.51757,0.46288,0.16009,2.20745,1.64378,1.32801,0.001868,0.001868,0.001868
12,430.557,2.31797,1.91287,1.28332,0.51872,0.5189,0.51019,0.1871,2.13492,1.68834,1.30589,0.0018548,0.0018548,0.0018548
13,464.716,2.29625,1.73127,1.26956,0.58197,0.55814,0.5126,0.17851,2.13325,1.68663,1.29654,0.0018416,0.0018416,0.0018416
14,498.642,2.3073,1.83188,1.26335,0.56863,0.51308,0.51011,0.17322,2.10681,1.56672,1.27908,0.0018284,0.0018284,0.0018284
15,532.479,2.33183,1.76496,1.27942,0.59784,0.54506,0.54842,0.19523,2.17675,1.62278,1.31643,0.0018152,0.0018152,0.0018152
16,566.682,2.29611,1.7599,1.2613,0.54525,0.49709,0.45092,0.15496,2.19257,1.71745,1.32033,0.001802,0.001802,0.001802
17,600.285,2.30316,1.7638,1.28692,0.54373,0.48983,0.49588,0.15762,2.38328,1.68012,1.38854,0.0017888,0.0017888,0.0017888
18,633.951,2.26295,1.73138,1.26127,0.54142,0.54215,0.53462,0.19865,2.10065,1.55435,1.28213,0.0017756,0.0017756,0.0017756
19,669.77,2.26141,1.7557,1.26086,0.55309,0.50145,0.48359,0.17427,2.08091,1.58698,1.27123,0.0017624,0.0017624,0.0017624
20,703.436,2.28005,1.81263,1.25049,0.4647,0.52762,0.47175,0.16771,2.09257,1.64273,1.28361,0.0017492,0.0017492,0.0017492
21,737.228,2.23863,1.69374,1.24185,0.6321,0.57189,0.55622,0.20249,2.0585,1.5031,1.25991,0.001736,0.001736,0.001736
22,772.586,2.17923,1.58746,1.21305,0.60455,0.52217,0.51995,0.18448,2.16869,1.58756,1.30099,0.0017228,0.0017228,0.0017228
23,806.279,2.21488,1.65001,1.22815,0.60125,0.52471,0.54414,0.2078,2.09255,1.51447,1.27872,0.0017096,0.0017096,0.0017096
24,841.469,2.19468,1.66845,1.23027,0.65158,0.56105,0.5741,0.19474,2.11757,1.49375,1.27852,0.0016964,0.0016964,0.0016964
25,874.963,2.20647,1.66365,1.22354,0.50425,0.5218,0.47136,0.17839,2.1122,1.5773,1.27733,0.0016832,0.0016832,0.0016832
26,908.408,2.24382,1.6439,1.24213,0.63587,0.5407,0.55986,0.21508,2.07613,1.4918,1.27152,0.00167,0.00167,0.00167
27,942.959,2.17422,1.63206,1.22371,0.53687,0.52326,0.52055,0.19022,2.17716,1.5803,1.29922,0.0016568,0.0016568,0.0016568
28,976.677,2.22812,1.65162,1.24472,0.48371,0.51202,0.44231,0.16406,2.08081,1.67915,1.27474,0.0016436,0.0016436,0.0016436
29,1010.99,2.16546,1.64077,1.22663,0.57985,0.5407,0.52488,0.18648,2.05393,1.55934,1.25861,0.0016304,0.0016304,0.0016304
30,1044.8,2.21852,1.68134,1.22695,0.63076,0.55523,0.57811,0.21011,2.06009,1.51936,1.25544,0.0016172,0.0016172,0.0016172
31,1078.69,2.14963,1.59516,1.21827,0.66976,0.57558,0.59393,0.2241,2.07583,1.45239,1.26549,0.001604,0.001604,0.001604
32,1114.91,2.19668,1.58091,1.23042,0.59892,0.58866,0.55934,0.19767,2.09549,1.49575,1.26711,0.0015908,0.0015908,0.0015908
33,1148.48,2.17091,1.52093,1.22122,0.63048,0.59272,0.62975,0.22917,2.05644,1.47856,1.26043,0.0015776,0.0015776,0.0015776
34,1183.14,2.14418,1.5776,1.18861,0.57468,0.50581,0.4895,0.17614,2.11415,1.53508,1.27518,0.0015644,0.0015644,0.0015644
35,1216.78,2.14304,1.55179,1.19035,0.60721,0.55087,0.54386,0.18169,2.15697,1.50641,1.28942,0.0015512,0.0015512,0.0015512
36,1250.37,2.14317,1.51773,1.20653,0.60034,0.54364,0.53822,0.19222,2.05158,1.49721,1.25334,0.001538,0.001538,0.001538
37,1283.79,2.12779,1.44964,1.20128,0.66303,0.5348,0.56922,0.19789,2.16498,1.51424,1.28615,0.0015248,0.0015248,0.0015248
38,1317.55,2.13034,1.51128,1.19007,0.56909,0.57413,0.55065,0.19781,2.08247,1.4848,1.25563,0.0015116,0.0015116,0.0015116
39,1351.32,2.11194,1.47973,1.20368,0.67949,0.57558,0.60839,0.21637,2.08588,1.45968,1.26093,0.0014984,0.0014984,0.0014984
40,1384.83,2.12176,1.59342,1.18584,0.64958,0.57659,0.56249,0.19353,2.1044,1.46565,1.27321,0.0014852,0.0014852,0.0014852
41,1418.29,2.12926,1.50026,1.19226,0.74643,0.55669,0.65465,0.24831,2.02904,1.44339,1.24431,0.001472,0.001472,0.001472
42,1453.43,2.12982,1.48525,1.19199,0.57997,0.55087,0.50509,0.17853,2.11178,1.49584,1.27306,0.0014588,0.0014588,0.0014588
43,1486.94,2.11503,1.45797,1.20353,0.69908,0.5774,0.61886,0.2295,2.05817,1.38169,1.25583,0.0014456,0.0014456,0.0014456
44,1520.59,2.13602,1.5019,1.193,0.66502,0.62209,0.61107,0.22255,1.99356,1.45617,1.22653,0.0014324,0.0014324,0.0014324
45,1554.17,2.08889,1.533,1.19165,0.73634,0.63372,0.66249,0.23917,2.05858,1.39173,1.24866,0.0014192,0.0014192,0.0014192
46,1587.65,2.10326,1.54413,1.19973,0.67052,0.55233,0.60232,0.21818,2.06027,1.45255,1.25229,0.001406,0.001406,0.001406
47,1621.21,2.10156,1.48029,1.17613,0.72541,0.6067,0.65094,0.23966,2.03144,1.38179,1.23907,0.0013928,0.0013928,0.0013928
