epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8779,3.6034,8.98426,3.07469,0.23993,0.31395,0.16735,0.05201,2.54017,5.32515,2.47197,0.00066455,0.00066455,0.00066455
2,104.085,2.54143,3.26286,2.10405,0.37003,0.40262,0.31481,0.10411,2.34687,2.87019,2.14669,0.00132243,0.00132243,0.00132243
3,140.489,2.41013,2.54702,1.99119,0.39282,0.32994,0.26039,0.08197,2.40879,2.91209,2.13482,0.00197151,0.00197151,0.00197151
4,177.073,2.38574,2.265,1.95687,0.42455,0.47674,0.37139,0.14574,2.19034,2.13153,1.95444,0.0019604,0.0019604,0.0019604
5,213.833,2.29167,2.13007,1.838,0.46754,0.48837,0.41412,0.15359,2.16325,2.03916,1.93175,0.0019472,0.0019472,0.0019472
6,250.012,2.30131,2.06118,1.83848,0.34664,0.38372,0.29876,0.09416,2.44616,2.43742,2.10043,0.001934,0.001934,0.001934
7,286.94,2.31486,2.06233,1.84163,0.41146,0.45349,0.36511,0.11013,2.33472,2.06782,2.01281,0.0019208,0.0019208,0.0019208
8,323.471,2.27953,2.03591,1.79698,0.27772,0.37209,0.24836,0.08441,2.3644,2.4551,2.05382,0.0019076,0.0019076,0.0019076
9,360.1,2.25225,2.0702,1.77831,0.51828,0.49128,0.46149,0.17249,2.07629,1.91136,1.86487,0.0018944,0.0018944,0.0018944
10,397.267,2.18886,1.89849,1.74236,0.36909,0.49564,0.35177,0.12451,2.18927,1.97175,1.93094,0.0018812,0.0018812,0.0018812
11,433.973,2.21876,1.92255,1.77318,0.44741,0.49273,0.42142,0.15071,2.14674,1.9578,1.90017,0.001868,0.001868,0.001868
12,470.631,2.1932,1.96784,1.73924,0.50552,0.52157,0.48172,0.17471,2.08477,1.85737,1.8442,0.0018548,0.0018548,0.0018548
13,507.307,2.15059,1.83759,1.69036,0.54022,0.50551,0.48325,0.18827,2.05743,1.92093,1.8238,0.0018416,0.0018416,0.0018416
14,543.723,2.1683,1.90012,1.69478,0.55207,0.55814,0.52223,0.21074,2.05691,1.72955,1.83949,0.0018284,0.0018284,0.0018284
15,580.434,2.18547,1.88303,1.72424,0.52419,0.57849,0.52658,0.20636,2.01072,1.765,1.78535,0.0018152,0.0018152,0.0018152
16,617.239,2.13106,1.83765,1.68373,0.59133,0.52762,0.53656,0.21275,2.03956,1.89266,1.82046,0.001802,0.001802,0.001802
17,654.171,2.14481,1.85653,1.72882,0.50548,0.50581,0.49691,0.1837,2.09311,1.77344,1.84296,0.0017888,0.0017888,0.0017888
18,691.109,2.1433,1.85981,1.71773,0.55057,0.56831,0.57641,0.23912,1.98555,1.73407,1.7778,0.0017756,0.0017756,0.0017756
19,728.155,2.13066,1.85258,1.70132,0.50328,0.48451,0.45667,0.17884,1.9894,1.83616,1.77432,0.0017624,0.0017624,0.0017624
20,765.251,2.11897,1.82182,1.6696,0.53346,0.52019,0.51012,0.1916,2.07582,1.73223,1.84249,0.0017492,0.0017492,0.0017492
21,802.132,2.13053,1.81763,1.68215,0.61951,0.5372,0.55791,0.20496,2.05531,1.76854,1.82278,0.001736,0.001736,0.001736
22,838.916,2.11613,1.69294,1.66482,0.54566,0.57256,0.53517,0.19803,2.05285,1.75109,1.8187,0.0017228,0.0017228,0.0017228
23,875.634,2.13857,1.71756,1.67109,0.59837,0.57267,0.58333,0.2215,2.03465,1.74663,1.78573,0.0017096,0.0017096,0.0017096
24,912.517,2.08451,1.73273,1.6678,0.6873,0.56395,0.64025,0.24704,2.01436,1.63312,1.78028,0.0016964,0.0016964,0.0016964
25,949.635,2.10809,1.73804,1.66279,0.6142,0.51744,0.5936,0.23743,2.00882,1.59907,1.77983,0.0016832,0.0016832,0.0016832
26,986.431,2.12202,1.69809,1.67459,0.60196,0.61047,0.60926,0.2378,2.00244,1.64621,1.77332,0.00167,0.00167,0.00167
27,1023.12,2.08681,1.71432,1.6543,0.52808,0.53022,0.53643,0.21757,2.03481,1.71124,1.79538,0.0016568,0.0016568,0.0016568
28,1059.86,2.08329,1.72963,1.67554,0.57057,0.55425,0.56276,0.22011,1.99026,1.65275,1.776,0.0016436,0.0016436,0.0016436
29,1096.88,2.08329,1.71082,1.65739,0.58821,0.56541,0.56277,0.20229,2.01686,1.78999,1.78157,0.0016304,0.0016304,0.0016304
30,1133.74,2.10309,1.73747,1.66315,0.68345,0.625,0.67009,0.26771,1.97317,1.57114,1.75467,0.0016172,0.0016172,0.0016172
31,1170.36,2.05697,1.69057,1.65569,0.60681,0.60566,0.59421,0.23401,1.96546,1.6176,1.75908,0.001604,0.001604,0.001604
32,1207.14,2.09292,1.6708,1.67448,0.67072,0.62645,0.65367,0.25809,1.99668,1.68724,1.76269,0.0015908,0.0015908,0.0015908
33,1243.98,2.08126,1.63342,1.65451,0.58652,0.59302,0.59723,0.24176,1.98415,1.65469,1.76027,0.0015776,0.0015776,0.0015776
34,1280.91,2.07579,1.68687,1.62397,0.62378,0.56831,0.59404,0.22518,2.03479,1.624,1.78523,0.0015644,0.0015644,0.0015644
35,1318,2.05279,1.60938,1.61138,0.57922,0.56686,0.55185,0.20949,1.99451,1.66631,1.76858,0.0015512,0.0015512,0.0015512
36,1354.67,2.06136,1.61339,1.63603,0.69676,0.63663,0.66333,0.25525,1.96671,1.57695,1.74781,0.001538,0.001538,0.001538
37,1391.7,2.03679,1.58833,1.62444,0.65218,0.61321,0.66282,0.25712,2.00137,1.58285,1.76856,0.0015248,0.0015248,0.0015248
38,1428.59,2.03299,1.60226,1.62054,0.67699,0.6061,0.64944,0.25331,1.966,1.62248,1.73944,0.0015116,0.0015116,0.0015116
39,1465.58,2.05546,1.58166,1.65591,0.7378,0.61047,0.67267,0.25089,2.04711,1.57766,1.79334,0.0014984,0.0014984,0.0014984
40,1502.37,2.04683,1.67738,1.62066,0.69285,0.59012,0.65187,0.24438,2.03204,1.62535,1.77676,0.0014852,0.0014852,0.0014852
41,1539.24,2.07002,1.62255,1.62531,0.69544,0.58285,0.653,0.25851,1.95502,1.55887,1.73204,0.001472,0.001472,0.001472
42,1576.3,2.05801,1.56737,1.62452,0.73891,0.59448,0.66472,0.25425,2.01201,1.53731,1.77414,0.0014588,0.0014588,0.0014588
43,1613.17,2.04014,1.61112,1.63771,0.64958,0.59012,0.5991,0.2334,1.97889,1.59469,1.75893,0.0014456,0.0014456,0.0014456
44,1650.29,2.03588,1.56089,1.61519,0.71412,0.6027,0.6617,0.26645,1.95322,1.59433,1.72795,0.0014324,0.0014324,0.0014324
