epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.405,3.78615,8.82827,3.21543,0.30739,0.3125,0.23065,0.07587,2.56533,5.12029,2.43816,0.00066455,0.00066455,0.00066455
2,190.482,2.56761,3.61083,2.16371,0.25042,0.42587,0.17698,0.06077,2.37314,4.20395,2.13663,0.00132243,0.00132243,0.00132243
3,267.543,2.43551,2.79993,2.01989,0.45912,0.41424,0.38708,0.13988,2.29341,2.54126,2.06529,0.00197151,0.00197151,0.00197151
4,344.445,2.3811,2.3486,1.94444,0.3919,0.49419,0.38815,0.14885,2.20492,2.27303,1.97154,0.0019604,0.0019604,0.0019604
5,421.266,2.27679,2.19369,1.83644,0.51005,0.44913,0.4538,0.16739,2.16722,2.18049,1.96195,0.0019472,0.0019472,0.0019472
6,498.305,2.31361,2.14573,1.85312,0.34153,0.47965,0.32119,0.10144,2.34675,2.22761,2.02676,0.001934,0.001934,0.001934
7,575.357,2.26108,2.06778,1.80856,0.44101,0.42006,0.37479,0.11007,2.41764,2.16394,2.06684,0.0019208,0.0019208,0.0019208
8,652.357,2.24839,2.03556,1.77222,0.39156,0.43023,0.34642,0.11663,2.16681,2.14359,1.93553,0.0019076,0.0019076,0.0019076
9,729.311,2.24434,2.06028,1.78383,0.54549,0.51163,0.52073,0.19522,2.17363,1.88978,1.91187,0.0018944,0.0018944,0.0018944
10,806.359,2.19483,1.90346,1.74243,0.4576,0.50291,0.45433,0.16203,2.1651,1.91056,1.87894,0.0018812,0.0018812,0.0018812
11,883.409,2.24875,1.92681,1.78201,0.52735,0.50872,0.48979,0.17621,2.14344,1.89801,1.8864,0.001868,0.001868,0.001868
12,960.428,2.19599,1.96155,1.74316,0.48134,0.45349,0.43714,0.15652,2.2054,1.99329,1.92617,0.0018548,0.0018548,0.0018548
13,1037.38,2.16217,1.82627,1.69923,0.47531,0.5201,0.45284,0.16547,2.11696,1.91173,1.86284,0.0018416,0.0018416,0.0018416
14,1114.26,2.18097,1.92692,1.69459,0.61366,0.57122,0.57681,0.22955,2.08118,1.746,1.84543,0.0018284,0.0018284,0.0018284
15,1191.22,2.20594,1.88131,1.73388,0.61931,0.53343,0.5492,0.20414,2.09981,1.7993,1.85358,0.0018152,0.0018152,0.0018152
16,1268.18,2.13025,1.86467,1.68429,0.59262,0.59012,0.60209,0.23759,1.97725,1.80631,1.77921,0.001802,0.001802,0.001802
17,1345.2,2.13181,1.84709,1.72186,0.58691,0.56541,0.56489,0.20844,2.10369,1.6968,1.85996,0.0017888,0.0017888,0.0017888
