epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.717,3.62989,8.73325,3.15475,0.29764,0.3343,0.22695,0.06609,2.67723,5.04126,2.49054,0.00066455,0.00066455,0.00066455
2,183.015,2.57469,3.51443,2.14446,0.33296,0.36919,0.26034,0.08817,2.41192,3.10269,2.17941,0.00132243,0.00132243,0.00132243
3,256.405,2.46851,2.71484,2.03467,0.40428,0.38081,0.32055,0.11593,2.28452,2.65198,2.03774,0.00197151,0.00197151,0.00197151
4,329.568,2.41229,2.32464,1.95822,0.49296,0.44913,0.41582,0.15381,2.2514,2.18049,1.98518,0.0019604,0.0019604,0.0019604
5,402.646,2.31214,2.21072,1.85974,0.53186,0.47063,0.46639,0.17391,2.19959,2.01463,1.96026,0.0019472,0.0019472,0.0019472
6,475.878,2.29229,2.13846,1.84256,0.37814,0.42601,0.30409,0.09706,2.3091,2.2248,2.00679,0.001934,0.001934,0.001934
7,549.179,2.26818,2.0518,1.81296,0.44835,0.46221,0.37749,0.13349,2.23273,2.05057,1.97709,0.0019208,0.0019208,0.0019208
8,622.478,2.24298,1.9928,1.77285,0.46822,0.49855,0.44508,0.15603,2.22913,2.02429,1.94429,0.0019076,0.0019076,0.0019076
9,695.702,2.2393,2.00615,1.77766,0.50367,0.45349,0.42774,0.15405,2.23598,1.98861,1.96377,0.0018944,0.0018944,0.0018944
10,768.851,2.19703,1.90807,1.74057,0.52823,0.52567,0.4951,0.17385,2.15665,1.90233,1.88712,0.0018812,0.0018812,0.0018812
11,841.993,2.22034,1.95465,1.76199,0.48747,0.47674,0.45133,0.17428,2.05057,2.1183,1.85239,0.001868,0.001868,0.001868
12,915.018,2.17052,2.00801,1.73264,0.45942,0.47384,0.43466,0.15889,2.11791,1.95708,1.85078,0.0018548,0.0018548,0.0018548
13,988.169,2.14475,1.85146,1.69,0.56133,0.54495,0.51214,0.19326,2.05989,1.78397,1.81949,0.0018416,0.0018416,0.0018416
14,1061.3,2.14718,1.89541,1.68356,0.62573,0.55087,0.57877,0.22954,2.02067,1.7412,1.80039,0.0018284,0.0018284,0.0018284
15,1134.46,2.18514,1.8735,1.72821,0.6238,0.52616,0.58106,0.21911,2.00302,1.77732,1.79611,0.0018152,0.0018152,0.0018152
16,1207.57,2.13195,1.84425,1.68992,0.66147,0.54215,0.59648,0.22367,2.11975,1.79053,1.85624,0.001802,0.001802,0.001802
17,1280.77,2.13386,1.84168,1.71854,0.56697,0.52334,0.54127,0.19703,2.10144,1.72784,1.8479,0.0017888,0.0017888,0.0017888
18,1353.84,2.12915,1.82062,1.71217,0.61186,0.55814,0.57504,0.2223,2.05076,1.74773,1.82544,0.0017756,0.0017756,0.0017756
19,1427.01,2.12234,1.83297,1.69935,0.64192,0.5,0.53236,0.20557,1.96032,1.87499,1.78779,0.0017624,0.0017624,0.0017624
20,1500.29,2.1357,1.80561,1.68515,0.64343,0.55959,0.59131,0.2262,2.00045,1.74628,1.78961,0.0017492,0.0017492,0.0017492
21,1573.6,2.11478,1.76291,1.66817,0.59166,0.49709,0.5208,0.19157,2.04025,1.74565,1.81676,0.001736,0.001736,0.001736
22,1646.87,2.10703,1.68602,1.65758,0.65764,0.5407,0.60124,0.23071,2.0291,1.69524,1.80734,0.0017228,0.0017228,0.0017228
23,1720.13,2.12104,1.73323,1.66455,0.65867,0.56831,0.60539,0.23339,2.01328,1.6738,1.7832,0.0017096,0.0017096,0.0017096
24,1793.35,2.09853,1.73627,1.67368,0.70423,0.60756,0.66121,0.24507,2.02974,1.60568,1.79467,0.0016964,0.0016964,0.0016964
25,1866.66,2.11448,1.74657,1.6692,0.65074,0.5407,0.60779,0.23842,2.00976,1.63568,1.79287,0.0016832,0.0016832,0.0016832
