epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.449,2.70563,6.19464,1.87035,0.4615,0.30523,0.30369,0.09321,2.39555,4.24652,1.74082,0.00066455,0.00066455,0.00066455
2,188.648,2.42563,3.0423,1.66655,0.31403,0.38372,0.25348,0.0798,2.3648,2.8521,1.69955,0.00132243,0.00132243,0.00132243
3,265.405,2.37654,2.52558,1.64037,0.40604,0.31831,0.30784,0.10966,2.20371,2.90315,1.68202,0.00197151,0.00197151,0.00197151
4,342.214,2.33182,2.38375,1.59149,0.45185,0.42006,0.35526,0.13057,2.24807,2.34281,1.52525,0.0019604,0.0019604,0.0019604
5,418.949,2.24211,2.23755,1.56082,0.50558,0.42878,0.45089,0.16402,2.15583,2.21636,1.65314,0.0019472,0.0019472,0.0019472
6,495.789,2.23944,2.20969,1.54124,0.42307,0.40698,0.37403,0.11751,2.17704,2.17075,1.61156,0.001934,0.001934,0.001934
7,572.548,2.21812,2.15303,1.54374,0.41566,0.44458,0.36413,0.11847,2.32869,2.10036,1.66579,0.0019208,0.0019208,0.0019208
8,649.479,2.20649,2.11103,1.52771,0.38253,0.45349,0.36563,0.1178,2.19432,2.23941,1.52998,0.0019076,0.0019076,0.0019076
9,726.196,2.19728,2.09378,1.50305,0.55626,0.41908,0.45333,0.15366,2.13818,2.06654,1.51072,0.0018944,0.0018944,0.0018944
10,802.933,2.14773,1.98144,1.49023,0.47086,0.4375,0.41318,0.14416,2.12677,2.129,1.54199,0.0018812,0.0018812,0.0018812
11,879.764,2.18625,2.0109,1.49546,0.40368,0.4593,0.35749,0.1252,2.0962,2.08414,1.46909,0.001868,0.001868,0.001868
12,956.486,2.12385,1.99837,1.46347,0.53651,0.45428,0.48097,0.17836,2.11203,2.08875,1.52113,0.0018548,0.0018548,0.0018548
13,1033.27,2.12482,1.89989,1.46485,0.56831,0.48986,0.51097,0.17874,2.0807,2.01047,1.58095,0.0018416,0.0018416,0.0018416
14,1110.12,2.13539,1.94377,1.45586,0.59186,0.53115,0.5589,0.20821,2.02315,1.84731,1.53418,0.0018284,0.0018284,0.0018284
15,1186.99,2.15364,1.90815,1.47415,0.56324,0.53343,0.50938,0.19701,2.0464,1.88986,1.51554,0.0018152,0.0018152,0.0018152
16,1263.9,2.08354,1.87329,1.45711,0.56725,0.53918,0.54933,0.20843,2.05255,1.88644,1.58243,0.001802,0.001802,0.001802
17,1340.7,2.10718,1.86543,1.46245,0.62806,0.53052,0.58107,0.20888,2.1245,1.76039,1.52023,0.0017888,0.0017888,0.0017888
18,1417.57,2.0864,1.87841,1.4463,0.62437,0.53488,0.56203,0.20903,2.06576,1.81642,1.4826,0.0017756,0.0017756,0.0017756
19,1494.44,2.09009,1.83057,1.45535,0.61751,0.53502,0.57015,0.2265,1.96931,1.7705,1.47151,0.0017624,0.0017624,0.0017624
20,1571.35,2.0864,1.84773,1.45494,0.63348,0.5376,0.57956,0.23427,1.97798,1.74936,1.45413,0.0017492,0.0017492,0.0017492
21,1648.33,2.07803,1.80944,1.43728,0.55448,0.54506,0.5335,0.21266,1.99186,1.7519,1.46197,0.001736,0.001736,0.001736
22,1725.26,2.08325,1.7755,1.43823,0.5859,0.5625,0.57906,0.20656,1.98711,1.7794,1.50487,0.0017228,0.0017228,0.0017228
23,1802.21,2.08628,1.75609,1.43794,0.58624,0.52035,0.54198,0.19916,2.09254,1.78913,1.48801,0.0017096,0.0017096,0.0017096
24,1879.14,2.05926,1.77643,1.43445,0.68786,0.54773,0.61714,0.23846,1.97674,1.70205,1.48084,0.0016964,0.0016964,0.0016964
25,1956.1,2.0969,1.78148,1.45516,0.64314,0.53488,0.56894,0.21639,2.01264,1.82756,1.51488,0.0016832,0.0016832,0.0016832
