epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5096,2.6839,6.47975,1.37789,0.42851,0.36728,0.29139,0.10816,2.37383,4.34131,1.57078,0.00066455,0.00066455,0.00066455
2,102.121,2.43837,3.00286,1.31753,0.35384,0.39956,0.29033,0.10773,2.30353,2.65436,1.34654,0.00132243,0.00132243,0.00132243
3,132.665,2.42247,2.37357,1.32022,0.43368,0.43169,0.33571,0.12571,2.3154,2.21311,1.3894,0.00197151,0.00197151,0.00197151
4,163.118,2.4074,2.10651,1.31588,0.49293,0.42106,0.38325,0.13885,2.28902,2.10603,1.35421,0.0019604,0.0019604,0.0019604
5,193.456,2.37112,2.07772,1.28151,0.53465,0.46076,0.41284,0.15525,2.21298,1.85063,1.33767,0.0019472,0.0019472,0.0019472
6,223.934,2.36003,1.93647,1.28669,0.40239,0.48249,0.39262,0.13307,2.30138,1.86577,1.36159,0.001934,0.001934,0.001934
7,254.428,2.35023,1.88611,1.27533,0.47514,0.50727,0.4368,0.14307,2.26767,1.85123,1.31344,0.0019208,0.0019208,0.0019208
8,284.752,2.33194,1.85855,1.25658,0.52422,0.52616,0.49992,0.18504,2.16565,1.98185,1.30306,0.0019076,0.0019076,0.0019076
9,315.232,2.28886,1.84859,1.25126,0.59783,0.53488,0.54182,0.18322,2.29002,1.70325,1.33595,0.0018944,0.0018944,0.0018944
10,345.504,2.30092,1.78774,1.24929,0.47362,0.51599,0.4586,0.16589,2.17091,1.78811,1.2895,0.0018812,0.0018812,0.0018812
11,375.869,2.25725,1.7579,1.23734,0.57982,0.53343,0.50978,0.18625,2.15066,1.63791,1.28013,0.001868,0.001868,0.001868
12,406.784,2.26939,1.81409,1.23669,0.49568,0.49144,0.47715,0.15747,2.24017,1.79482,1.31073,0.0018548,0.0018548,0.0018548
13,437.293,2.20703,1.68142,1.20747,0.54039,0.55814,0.51987,0.18549,2.0958,1.5752,1.25741,0.0018416,0.0018416,0.0018416
