epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.056,2.70105,5.72949,1.87328,0.34739,0.30814,0.24496,0.07946,2.39499,3.85144,1.77964,0.00066455,0.00066455,0.00066455
2,189.277,2.39335,2.86531,1.65547,0.49233,0.4157,0.39764,0.13115,2.28955,2.52289,1.61641,0.00132243,0.00132243,0.00132243
3,265.545,2.34954,2.41473,1.62636,0.30401,0.3492,0.21923,0.08029,2.28854,2.83179,1.73415,0.00197151,0.00197151,0.00197151
4,341.631,2.30718,2.31104,1.60626,0.51801,0.45769,0.45826,0.17736,2.08737,2.04257,1.58308,0.0019604,0.0019604,0.0019604
5,417.702,2.2246,2.20842,1.56311,0.49864,0.4782,0.4323,0.15603,2.0763,2.05777,1.56629,0.0019472,0.0019472,0.0019472
6,493.83,2.22476,2.17545,1.54031,0.48744,0.47529,0.42953,0.14295,2.22628,2.03376,1.64598,0.001934,0.001934,0.001934
7,569.91,2.23115,2.09779,1.55744,0.48363,0.46802,0.41931,0.1406,2.23166,2.02977,1.646,0.0019208,0.0019208,0.0019208
8,646.08,2.18023,1.98735,1.52533,0.582,0.52616,0.53874,0.19577,2.09344,2.02422,1.5938,0.0019076,0.0019076,0.0019076
9,722.215,2.16441,2.04678,1.49199,0.64575,0.50291,0.57025,0.21623,2.14451,1.84134,1.49668,0.0018944,0.0018944,0.0018944
10,798.374,2.13798,1.92619,1.49972,0.4823,0.46076,0.42402,0.14866,2.1344,1.95722,1.53867,0.0018812,0.0018812,0.0018812
11,874.484,2.16338,1.92816,1.49483,0.49021,0.53924,0.47743,0.16969,2.06766,1.86093,1.4825,0.001868,0.001868,0.001868
12,950.447,2.14437,1.95986,1.48273,0.48554,0.46221,0.43466,0.15854,2.11173,2.11408,1.58451,0.0018548,0.0018548,0.0018548
13,1026.54,2.09304,1.85566,1.45275,0.57626,0.56395,0.55125,0.2043,2.03074,1.7823,1.53224,0.0018416,0.0018416,0.0018416
14,1102.62,2.12971,1.89823,1.47801,0.58688,0.5436,0.54412,0.20335,1.98067,1.82322,1.48942,0.0018284,0.0018284,0.0018284
15,1178.72,2.13988,1.90593,1.48147,0.67316,0.55981,0.61548,0.23077,1.97823,1.79956,1.50794,0.0018152,0.0018152,0.0018152
16,1254.87,2.08412,1.82753,1.454,0.53476,0.59476,0.55202,0.20984,1.96892,1.80388,1.49243,0.001802,0.001802,0.001802
17,1331.06,2.09092,1.84148,1.4698,0.60854,0.4782,0.52628,0.19078,2.15606,1.86458,1.56157,0.0017888,0.0017888,0.0017888
18,1407.11,2.06805,1.83141,1.47273,0.60364,0.57122,0.5935,0.22425,1.99929,1.79409,1.46463,0.0017756,0.0017756,0.0017756
19,1483.25,2.07496,1.82003,1.46681,0.64244,0.56686,0.62304,0.24234,1.97788,1.74092,1.56332,0.0017624,0.0017624,0.0017624
20,1559.41,2.08418,1.81198,1.46469,0.66827,0.54755,0.58392,0.21988,1.97839,1.77103,1.45629,0.0017492,0.0017492,0.0017492
21,1635.62,2.06167,1.78527,1.44425,0.70452,0.57528,0.64194,0.25265,1.95333,1.7247,1.46831,0.001736,0.001736,0.001736
22,1711.9,2.06019,1.68122,1.43362,0.65465,0.5235,0.59698,0.22233,1.97091,1.86474,1.50434,0.0017228,0.0017228,0.0017228
23,1788.03,2.08056,1.71544,1.45245,0.65282,0.56831,0.61214,0.24036,2.02897,1.70179,1.48284,0.0017096,0.0017096,0.0017096
24,1864.18,2.04651,1.75138,1.44058,0.70881,0.55546,0.62712,0.24312,2.00945,1.68278,1.54977,0.0016964,0.0016964,0.0016964
25,1940.24,2.07387,1.73004,1.44566,0.74723,0.57122,0.6604,0.26261,2.02874,1.70932,1.47212,0.0016832,0.0016832,0.0016832
26,2016.29,2.06098,1.71789,1.43845,0.64981,0.61337,0.63936,0.24836,1.99166,1.65633,1.47529,0.00167,0.00167,0.00167
27,2092.24,2.05066,1.72136,1.42506,0.66388,0.57122,0.64247,0.25617,1.95267,1.68653,1.49497,0.0016568,0.0016568,0.0016568
28,2168.15,2.04956,1.70525,1.42887,0.63577,0.53278,0.589,0.22895,1.99847,1.74641,1.48858,0.0016436,0.0016436,0.0016436
29,2244.14,2.01459,1.70003,1.42618,0.6441,0.62355,0.64816,0.24664,1.92801,1.65596,1.46223,0.0016304,0.0016304,0.0016304
30,2320.12,2.05729,1.72609,1.42522,0.72246,0.56977,0.64869,0.2414,2.00943,1.64527,1.49442,0.0016172,0.0016172,0.0016172
31,2395.97,2.02914,1.67419,1.43677,0.68422,0.53225,0.63696,0.2596,1.93333,1.64859,1.46758,0.001604,0.001604,0.001604
32,2472,2.03803,1.65989,1.45679,0.76508,0.65116,0.71448,0.26389,2.01061,1.66625,1.54086,0.0015908,0.0015908,0.0015908
33,2548.06,2.03516,1.64235,1.44118,0.70126,0.63517,0.68322,0.26504,1.9609,1.66308,1.53897,0.0015776,0.0015776,0.0015776
34,2624.06,2.02714,1.65836,1.41159,0.58727,0.56686,0.56833,0.21842,2.01325,1.6636,1.46206,0.0015644,0.0015644,0.0015644
35,2700.18,2.01039,1.60332,1.4021,0.62244,0.55669,0.58221,0.21098,2.03018,1.70381,1.51721,0.0015512,0.0015512,0.0015512
36,2776.16,2.01029,1.59452,1.4156,0.69654,0.59738,0.65302,0.26053,1.96089,1.6139,1.49654,0.001538,0.001538,0.001538
37,2852.17,2.0025,1.51939,1.39802,0.74757,0.61047,0.66322,0.24401,2.08082,1.59714,1.50803,0.0015248,0.0015248,0.0015248
38,2928.26,1.99684,1.56298,1.3967,0.64502,0.58285,0.61165,0.23633,2.01053,1.67662,1.46244,0.0015116,0.0015116,0.0015116
39,3004.39,1.9887,1.57368,1.41302,0.72759,0.61192,0.68414,0.26489,2.01754,1.56548,1.50508,0.0014984,0.0014984,0.0014984
40,3080.37,2.01191,1.66085,1.42347,0.70004,0.57849,0.65478,0.23763,2.04378,1.67188,1.57181,0.0014852,0.0014852,0.0014852
41,3156.68,2.03938,1.60944,1.40497,0.68364,0.57413,0.64755,0.24945,1.93971,1.60366,1.44037,0.001472,0.001472,0.001472
42,3232.89,1.99567,1.55828,1.38111,0.7195,0.63007,0.68932,0.25951,1.97408,1.55766,1.47376,0.0014588,0.0014588,0.0014588
43,3309.1,1.99443,1.57966,1.39534,0.6053,0.56977,0.57576,0.21837,2.04225,1.62094,1.46096,0.0014456,0.0014456,0.0014456
44,3385.17,1.9876,1.52538,1.39136,0.68485,0.61277,0.6799,0.27076,1.90899,1.54764,1.45251,0.0014324,0.0014324,0.0014324
45,3461.27,1.98837,1.56534,1.40094,0.67466,0.64501,0.67849,0.26198,1.96867,1.6826,1.47262,0.0014192,0.0014192,0.0014192
46,3537.3,1.99582,1.58773,1.40141,0.71593,0.64105,0.68656,0.27205,1.96433,1.50157,1.47423,0.001406,0.001406,0.001406
47,3613.39,1.97715,1.53249,1.39465,0.71752,0.60901,0.69523,0.26861,1.96888,1.53155,1.45977,0.0013928,0.0013928,0.0013928
48,3689.46,1.98369,1.52816,1.39661,0.69894,0.67488,0.6879,0.26354,1.92787,1.5231,1.44834,0.0013796,0.0013796,0.0013796
