epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.4377,3.87343,9.84807,3.15648,0.04511,0.47093,0.03215,0.0108,2.8353,99.7442,2.51068,0.00066455,0.00066455,0.00066455
2,157.853,2.86742,4.24062,2.17336,0.06074,0.50327,0.0457,0.0172,2.67591,31.0421,2.50986,0.00132243,0.00132243,0.00132243
3,228.498,2.75648,3.08837,2.06768,0.03183,0.43459,0.02374,0.0091,2.60983,21.3393,2.26828,0.00197151,0.00197151,0.00197151
4,298.443,2.7506,2.4241,1.99854,0.53754,0.4375,0.41918,0.15017,2.54442,2.3529,1.98907,0.0019604,0.0019604,0.0019604
5,368.39,2.65023,2.18983,1.88655,0.48698,0.51308,0.4588,0.17328,2.41227,2.06324,1.8955,0.0019472,0.0019472,0.0019472
6,438.371,2.6326,2.1028,1.8692,0.37665,0.47965,0.33818,0.1132,2.56451,2.08619,1.9606,0.001934,0.001934,0.001934
7,507.961,2.61083,2.00965,1.84015,0.40473,0.43023,0.34883,0.12161,2.49949,2.07239,1.93721,0.0019208,0.0019208,0.0019208
8,577.428,2.60542,1.97847,1.80117,0.35873,0.53924,0.28638,0.10715,2.51235,2.2205,1.93739,0.0019076,0.0019076,0.0019076
9,646.904,2.57511,2.00835,1.80183,0.4761,0.52035,0.45552,0.16082,2.58127,1.88466,1.92068,0.0018944,0.0018944,0.0018944
10,716.359,2.56265,1.83464,1.76348,0.53154,0.5129,0.48797,0.18434,2.38088,1.79019,1.85527,0.0018812,0.0018812,0.0018812
11,785.949,2.59281,1.8788,1.79841,0.43673,0.46948,0.38791,0.15026,2.43797,1.93196,1.88852,0.001868,0.001868,0.001868
12,855.659,2.53079,1.9527,1.75956,0.44306,0.50436,0.42073,0.16052,2.36378,2.03272,1.82933,0.0018548,0.0018548,0.0018548
13,925.145,2.48543,1.80264,1.71464,0.5205,0.52471,0.49569,0.1914,2.43628,1.74143,1.83974,0.0018416,0.0018416,0.0018416
14,994.744,2.51844,1.85263,1.7168,0.53284,0.5218,0.49874,0.2026,2.28647,1.73761,1.7924,0.0018284,0.0018284,0.0018284
15,1064.66,2.58469,1.81541,1.76384,0.35651,0.52505,0.28062,0.11012,2.38064,2.54549,1.81916,0.0018152,0.0018152,0.0018152
16,1134.03,2.47689,1.79955,1.70916,0.46173,0.57267,0.39524,0.16299,2.23075,2.1223,1.75084,0.001802,0.001802,0.001802
17,1203.41,2.47412,1.78651,1.7404,0.61585,0.48256,0.56865,0.22332,2.41013,1.65453,1.83659,0.0017888,0.0017888,0.0017888
18,1272.93,2.48498,1.76278,1.74163,0.43389,0.57994,0.37838,0.15244,2.30608,1.78375,1.79303,0.0017756,0.0017756,0.0017756
19,1342.28,2.46904,1.76471,1.72155,0.56295,0.55378,0.53771,0.20504,2.23971,1.77587,1.75618,0.0017624,0.0017624,0.0017624
20,1411.66,2.4815,1.80222,1.6921,0.35821,0.59141,0.30652,0.11992,2.40606,5.60106,1.84172,0.0017492,0.0017492,0.0017492
21,1481.04,2.46429,1.72541,1.68623,0.59884,0.53634,0.55934,0.21693,2.30379,1.68562,1.78064,0.001736,0.001736,0.001736
22,1550.85,2.44963,1.6615,1.6751,0.70399,0.59112,0.64375,0.24104,2.37783,1.69023,1.82707,0.0017228,0.0017228,0.0017228
23,1620.76,2.4538,1.67831,1.67923,0.66046,0.55959,0.60505,0.23596,2.3302,1.69459,1.78501,0.0017096,0.0017096,0.0017096
