epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.266,2.56271,5.66922,1.32042,0.41916,0.51017,0.39252,0.13931,2.203,4.05748,1.31975,0.00066455,0.00066455,0.00066455
2,185.502,2.40574,2.91355,1.29359,0.50015,0.48429,0.43589,0.14859,2.2745,2.42423,1.35177,0.00132243,0.00132243,0.00132243
3,260.418,2.33456,2.29713,1.28955,0.46721,0.4186,0.38329,0.14637,2.23106,2.21662,1.33574,0.00197151,0.00197151,0.00197151
4,335.009,2.39124,2.01609,1.31236,0.4739,0.36773,0.32488,0.1238,2.30228,2.44041,1.38465,0.0019604,0.0019604,0.0019604
5,409.536,2.33849,2.03249,1.26905,0.44498,0.45203,0.41142,0.16068,2.19017,1.866,1.31,0.0019472,0.0019472,0.0019472
6,484.246,2.30797,1.93941,1.26078,0.53813,0.46512,0.45381,0.15188,2.24776,1.70495,1.32553,0.001934,0.001934,0.001934
7,558.339,2.30355,1.85905,1.25998,0.49084,0.49419,0.42435,0.13346,2.29566,1.79182,1.33573,0.0019208,0.0019208,0.0019208
8,633.119,2.2812,1.83955,1.23533,0.56072,0.49855,0.50487,0.17795,2.1353,1.94897,1.27932,0.0019076,0.0019076,0.0019076
9,708.976,2.27884,1.8491,1.23806,0.6745,0.48792,0.55997,0.20126,2.22965,1.68286,1.31117,0.0018944,0.0018944,0.0018944
10,784.853,2.25132,1.71413,1.23063,0.51586,0.47855,0.42706,0.1425,2.20356,1.7494,1.29331,0.0018812,0.0018812,0.0018812
11,860.351,2.26176,1.74079,1.23231,0.50802,0.51453,0.458,0.17538,2.13279,1.68307,1.27236,0.001868,0.001868,0.001868
12,934.759,2.22128,1.79553,1.21753,0.53801,0.50291,0.49388,0.19247,2.09497,1.75407,1.24887,0.0018548,0.0018548,0.0018548
13,1011.3,2.19491,1.65681,1.19664,0.44999,0.58721,0.45611,0.15365,2.11705,1.73365,1.26315,0.0018416,0.0018416,0.0018416
14,1085.6,2.23966,1.75366,1.20686,0.58543,0.55233,0.54451,0.19424,2.00798,1.66288,1.22411,0.0018284,0.0018284,0.0018284
15,1159.12,2.25643,1.75762,1.2137,0.60587,0.54942,0.57653,0.21483,2.06415,1.55215,1.23367,0.0018152,0.0018152,0.0018152
16,1235.58,2.18132,1.67733,1.18915,0.6047,0.53634,0.52879,0.18815,2.11016,1.62755,1.23906,0.001802,0.001802,0.001802
17,1311.79,2.20446,1.6452,1.21307,0.61248,0.58285,0.5724,0.19525,2.12354,1.59272,1.26449,0.0017888,0.0017888,0.0017888
18,1388.1,2.18144,1.63484,1.20038,0.66256,0.63953,0.63935,0.22901,2.11599,1.53785,1.26208,0.0017756,0.0017756,0.0017756
19,1462.65,2.16397,1.62189,1.18638,0.52122,0.55814,0.48655,0.17305,2.02157,1.59565,1.21334,0.0017624,0.0017624,0.0017624
20,1535.56,2.18645,1.6904,1.1811,0.66421,0.54626,0.55582,0.19683,2.15126,1.56416,1.27139,0.0017492,0.0017492,0.0017492
21,1608.56,2.18032,1.62692,1.1916,0.6746,0.57413,0.56113,0.20907,2.01267,1.49208,1.21924,0.001736,0.001736,0.001736
22,1680.3,2.13392,1.56013,1.16686,0.71969,0.50006,0.57325,0.21193,2.08223,1.56293,1.24056,0.0017228,0.0017228,0.0017228
23,1752.81,2.17039,1.56801,1.17984,0.74659,0.57849,0.63175,0.2322,2.10426,1.48788,1.25393,0.0017096,0.0017096,0.0017096
24,1825.76,2.1479,1.59011,1.18344,0.71575,0.59291,0.64826,0.24346,2.09483,1.45358,1.24113,0.0016964,0.0016964,0.0016964
25,1898.77,2.15742,1.57618,1.17736,0.67781,0.60174,0.63699,0.22218,2.1037,1.44939,1.2392,0.0016832,0.0016832,0.0016832
26,1970.67,2.18644,1.55379,1.19156,0.64442,0.54797,0.58462,0.21245,2.04322,1.48025,1.22384,0.00167,0.00167,0.00167
