epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.7795,2.56746,5.75357,1.36532,0.33046,0.43977,0.27288,0.08522,2.37324,2.25127,1.41911,0.00066455,0.00066455,0.00066455
2,95.958,2.47948,2.0873,1.34628,0.34646,0.43023,0.29381,0.10184,2.29202,2.14664,1.38329,0.00132243,0.00132243,0.00132243
3,128.225,2.41324,2.12952,1.33219,0.36342,0.37645,0.29965,0.11264,2.27742,2.45354,1.3748,0.00197151,0.00197151,0.00197151
4,160.539,2.42314,2.0511,1.33112,0.55695,0.48547,0.47397,0.16766,2.27229,1.71385,1.36283,0.0019604,0.0019604,0.0019604
5,192.669,2.36038,2.02706,1.2908,0.41169,0.46076,0.35044,0.11792,2.22918,2.13966,1.33075,0.0019472,0.0019472,0.0019472
6,224.957,2.34975,1.96048,1.29016,0.4051,0.47238,0.35486,0.10762,2.39483,1.84714,1.38124,0.001934,0.001934,0.001934
7,257.615,2.36845,1.94817,1.2801,0.27259,0.40843,0.21463,0.0576,2.53654,2.1093,1.41717,0.0019208,0.0019208,0.0019208
8,290.025,2.3098,1.86702,1.2578,0.43977,0.53488,0.42571,0.15396,2.11059,1.76432,1.28059,0.0019076,0.0019076,0.0019076
9,322.462,2.28308,1.86026,1.25966,0.52429,0.44622,0.43784,0.15729,2.31791,1.9245,1.37187,0.0018944,0.0018944,0.0018944
10,354.861,2.26543,1.76401,1.24966,0.54568,0.48692,0.48615,0.18446,2.16458,1.79267,1.31641,0.0018812,0.0018812,0.0018812
11,387.404,2.29453,1.74017,1.25739,0.6256,0.51163,0.5301,0.18557,2.09521,1.69967,1.27158,0.001868,0.001868,0.001868
12,420.133,2.26619,1.83565,1.23999,0.43913,0.48547,0.41995,0.15502,2.19323,1.97424,1.31307,0.0018548,0.0018548,0.0018548
13,452.653,2.21711,1.68619,1.2214,0.55404,0.53052,0.51229,0.19616,2.0592,1.66377,1.25835,0.0018416,0.0018416,0.0018416
14,485.086,2.25332,1.75993,1.22389,0.5477,0.54915,0.52183,0.19142,2.04362,1.59122,1.25394,0.0018284,0.0018284,0.0018284
15,517.81,2.26654,1.76543,1.23627,0.49877,0.56263,0.50646,0.19622,2.06127,1.65845,1.26205,0.0018152,0.0018152,0.0018152
16,550.673,2.19341,1.66912,1.21255,0.59301,0.5824,0.57223,0.2103,2.07626,1.47149,1.26276,0.001802,0.001802,0.001802
17,583.212,2.23444,1.66695,1.2465,0.57106,0.5407,0.48977,0.15352,2.26409,1.57289,1.32284,0.0017888,0.0017888,0.0017888
18,615.709,2.1774,1.66287,1.21394,0.63373,0.55959,0.59006,0.22414,2.04196,1.47566,1.25934,0.0017756,0.0017756,0.0017756
19,648.509,2.18774,1.63751,1.21856,0.59709,0.5407,0.54096,0.20463,2.01393,1.50637,1.23792,0.0017624,0.0017624,0.0017624
20,680.854,2.21103,1.69384,1.20773,0.51013,0.54215,0.4795,0.17746,2.07738,1.56515,1.26344,0.0017492,0.0017492,0.0017492
21,713.188,2.19666,1.6252,1.21395,0.61384,0.57068,0.57345,0.20459,2.07475,1.54907,1.25067,0.001736,0.001736,0.001736
22,746.595,2.12377,1.5186,1.17693,0.65632,0.57703,0.58119,0.20361,2.10059,1.45242,1.27019,0.0017228,0.0017228,0.0017228
23,779.472,2.17114,1.5349,1.20029,0.68059,0.57413,0.60229,0.22699,2.04856,1.53441,1.25831,0.0017096,0.0017096,0.0017096
24,811.973,2.13609,1.55212,1.20382,0.73721,0.58576,0.6306,0.22576,2.11991,1.43532,1.27601,0.0016964,0.0016964,0.0016964
25,844.719,2.15322,1.58589,1.19696,0.60699,0.52081,0.55888,0.19786,2.1149,1.51498,1.26689,0.0016832,0.0016832,0.0016832
26,877.419,2.21082,1.5521,1.21418,0.65704,0.56249,0.60727,0.21957,2.05318,1.4628,1.2527,0.00167,0.00167,0.00167
27,909.904,2.12551,1.53536,1.1947,0.56716,0.53899,0.52956,0.19341,2.10856,1.51544,1.265,0.0016568,0.0016568,0.0016568
28,943.043,2.14865,1.56619,1.20705,0.54029,0.56714,0.51326,0.1929,2.05156,1.54361,1.25477,0.0016436,0.0016436,0.0016436
29,975.967,2.11926,1.52074,1.19963,0.5997,0.57122,0.54462,0.18521,2.0815,1.47055,1.25659,0.0016304,0.0016304,0.0016304
30,1008.98,2.16466,1.57115,1.20229,0.66984,0.56914,0.62359,0.24143,2.01083,1.3716,1.23491,0.0016172,0.0016172,0.0016172
31,1041.95,2.104,1.50429,1.19387,0.72339,0.65262,0.66819,0.25273,2.0682,1.43645,1.26145,0.001604,0.001604,0.001604
32,1075.65,2.13256,1.46502,1.20457,0.65697,0.5814,0.57885,0.19108,2.18678,1.46522,1.29099,0.0015908,0.0015908,0.0015908
33,1108.92,2.12204,1.4509,1.19557,0.66043,0.54559,0.59719,0.23023,2.04983,1.41442,1.24677,0.0015776,0.0015776,0.0015776
34,1141.72,2.09471,1.49651,1.16197,0.66651,0.57228,0.55751,0.20088,2.05283,1.42442,1.2509,0.0015644,0.0015644,0.0015644
35,1175.15,2.12191,1.4709,1.17175,0.63939,0.53198,0.54422,0.19516,2.08384,1.44502,1.2567,0.0015512,0.0015512,0.0015512
36,1208.23,2.08116,1.45147,1.18023,0.70877,0.61919,0.63669,0.22839,1.99827,1.38474,1.2292,0.001538,0.001538,0.001538
37,1241.08,2.08379,1.39756,1.17904,0.64696,0.58332,0.60563,0.22228,2.09142,1.43682,1.26104,0.0015248,0.0015248,0.0015248
