epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.241,3.14217,8.99421,1.77853,0.40939,0.3879,0.28487,0.10193,2.46108,5.30758,1.49707,0.00066455,0.00066455,0.00066455
2,137.024,2.51667,3.63436,1.37575,0.34832,0.45785,0.30315,0.10679,2.33625,2.92689,1.35849,0.00132243,0.00132243,0.00132243
3,199.382,2.46002,2.75823,1.34942,0.38776,0.39535,0.34483,0.13263,2.22015,2.63488,1.33394,0.00197151,0.00197151,0.00197151
4,261.647,2.43801,2.2589,1.34091,0.4562,0.46076,0.40115,0.14172,2.30303,2.02876,1.34862,0.0019604,0.0019604,0.0019604
5,323.792,2.36158,2.10253,1.29408,0.51986,0.47674,0.46754,0.16776,2.28575,1.84054,1.34958,0.0019472,0.0019472,0.0019472
6,386.175,2.37072,2.00682,1.29933,0.29131,0.42733,0.24251,0.06365,2.49031,2.21199,1.41318,0.001934,0.001934,0.001934
7,448.504,2.41543,2.1032,1.32766,0.49018,0.51009,0.42475,0.13845,2.3223,1.9355,1.36493,0.0019208,0.0019208,0.0019208
8,510.911,2.34206,2.08832,1.37714,0.53437,0.55378,0.4833,0.17813,2.14909,2.12806,1.34811,0.0019076,0.0019076,0.0019076
9,573.299,2.2613,2.1316,1.38628,0.51542,0.47772,0.45828,0.16729,2.25619,2.02682,1.50732,0.0018944,0.0018944,0.0018944
10,635.781,2.20347,1.94077,1.37156,0.52893,0.49941,0.47755,0.16688,2.14624,1.89524,1.38635,0.0018812,0.0018812,0.0018812
11,698.129,2.22385,1.96828,1.38642,0.59078,0.53052,0.52967,0.19028,2.12147,1.89043,1.38815,0.001868,0.001868,0.001868
12,760.464,2.18177,2.00302,1.37663,0.52121,0.47529,0.44423,0.15881,2.15724,1.91428,1.39522,0.0018548,0.0018548,0.0018548
13,823.004,2.14642,1.86792,1.35417,0.55424,0.54398,0.51175,0.18964,2.05721,1.87347,1.37528,0.0018416,0.0018416,0.0018416
14,885.585,2.1592,1.94133,1.35289,0.72791,0.61438,0.64121,0.24306,2.00993,1.75343,1.34586,0.0018284,0.0018284,0.0018284
15,948.061,2.17302,1.87858,1.37018,0.65174,0.57849,0.58908,0.22312,2.04144,1.75793,1.38461,0.0018152,0.0018152,0.0018152
16,1010.53,2.10303,1.86448,1.35422,0.58139,0.53198,0.4732,0.16114,2.22726,1.8968,1.4605,0.001802,0.001802,0.001802
17,1072.98,2.14291,1.83572,1.38623,0.64899,0.55896,0.57933,0.21568,2.16911,1.76417,1.43289,0.0017888,0.0017888,0.0017888
18,1135.43,2.10491,1.87569,1.36204,0.65671,0.57,0.61087,0.23106,2.09586,1.71097,1.40209,0.0017756,0.0017756,0.0017756
19,1197.98,2.10582,1.839,1.37387,0.67739,0.58291,0.61717,0.23927,1.98643,1.78997,1.36516,0.0017624,0.0017624,0.0017624
20,1260.41,2.08806,1.84089,1.36268,0.66885,0.57558,0.61791,0.23402,2.05175,1.71568,1.3809,0.0017492,0.0017492,0.0017492
